------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                      Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  
------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                 aten::_local_scalar_dense        55.83%        1.156s        55.83%        1.156s       1.376ms           840                                                                              [[]]  
                               aten::copy_        30.75%     636.516ms        30.75%     636.516ms     505.171us          1260                                                                      [[], [], []]  
                                aten::item         8.04%     166.451ms        55.86%        1.156s       1.376ms           840                                                                              [[]]  
                            aten::_to_copy         2.58%      53.302ms        30.61%     633.652ms       1.509ms           420                                                      [[], [], [], [], [], [], []]  
                          aten::is_nonzero         1.34%      27.667ms        55.88%        1.157s       1.377ms           840                                                                              [[]]  
                                 aten::mul         0.17%       3.622ms         0.17%       3.622ms       4.312us           840                                                                          [[], []]  
              MambaHSI_SINGLE_TILE_FORWARD         0.14%       2.834ms        99.98%        2.069s     103.470ms            20                                                                                []  
                                  aten::ne         0.12%       2.385ms         0.12%       2.385ms       5.679us           420                                                                          [[], []]  
                                  aten::le         0.11%       2.332ms         0.11%       2.332ms       5.552us           420                                                                          [[], []]  
                          aten::reciprocal         0.10%       2.092ms         0.10%       2.092ms       4.981us           420                                                                             [[1]]  
                                 aten::mul         0.10%       2.044ms         0.10%       2.044ms       4.867us           420                                                                         [[1], []]  
                MODULE::mamba.0::BothMamba         0.09%       1.911ms        28.18%     583.236ms      29.162ms            20                                                                                []  
                MODULE::mamba.4::BothMamba         0.09%       1.911ms        28.33%     586.341ms      29.317ms            20                                                                                []  
                MODULE::mamba.2::BothMamba         0.09%       1.907ms        28.87%     597.579ms      29.879ms            20                                                                                []  
                            aten::isfinite         0.09%       1.904ms         0.52%      10.757ms      25.612us           420                                                                              [[]]  
                                 aten::all         0.08%       1.746ms         0.21%       4.439ms      10.569us           420                                                                              [[]]  
                                  aten::eq         0.08%       1.727ms         0.08%       1.727ms       4.112us           420                                                                          [[], []]  
                                 aten::any         0.08%       1.581ms         0.15%       3.081ms       7.336us           420                                                                              [[]]  
                              aten::select         0.08%       1.579ms         0.08%       1.586ms       1.220us          1300                                                                     [[1], [], []]  
                                 aten::abs         0.07%       1.543ms         0.07%       1.543ms       4.137us           373                                                                         [[], [0]]  
                                     Round         0.07%       1.429ms         0.19%       3.979ms      33.158us           120                                                                       [[256, 16]]  
                                     Round         0.07%       1.415ms         0.19%       3.933ms      32.775us           120                                                                        [[64, 16]]  
                   aten::cudnn_convolution         0.06%       1.292ms         0.06%       1.312ms      65.600us            20                       [[1, 32, 4, 4], [64, 32, 1, 1], [], [], [], [], [], [], []]  
                                    FunLSQ         0.06%       1.284ms         0.33%       6.790ms      56.583us           120                                                                   [[64, 16], [1]]  
                                     Round         0.06%       1.274ms         0.17%       3.544ms      35.440us           100                                                                 [[1, 32, 16, 16]]  
                                 aten::abs         0.06%       1.270ms         0.12%       2.472ms       5.886us           420                                                                              [[]]  
                                    FunLSQ         0.06%       1.228ms         0.33%       6.780ms      56.500us           120                                                                  [[256, 16], [1]]  
                                     Round         0.06%       1.224ms         0.16%       3.393ms      33.930us           100                                                                   [[1, 32, 4, 4]]  
                             aten::reshape         0.06%       1.201ms         0.06%       1.209ms       0.960us          1260                                                                         [[1], []]  
                                    FunLSQ         0.06%       1.194ms         0.29%       6.056ms      60.560us           100                                                            [[1, 32, 16, 16], [1]]  
                   aten::cudnn_convolution         0.06%       1.160ms         0.06%       1.160ms      58.000us            20                     [[1, 16, 16, 16], [32, 16, 1, 1], [], [], [], [], [], [], []]  
                                    FunLSQ         0.05%       1.092ms         0.28%       5.832ms      58.320us           100                                                              [[1, 32, 4, 4], [1]]  
                               aten::zeros         0.05%       1.062ms         0.05%       1.070ms       2.675us           400                                                              [[], [], [], [], []]  
       MODULE::mamba.4.spe_mamba::SpeMamba         0.05%     974.000us        13.60%     281.490ms      14.075ms            20                                                                                []  
                                     Round         0.05%     962.000us         0.13%       2.708ms      33.850us            80                                                                   [[1, 32, 8, 8]]  
                                 aten::cat         0.05%     959.000us         0.05%     959.000us       7.992us           120                                                                          [[], []]  
       MODULE::mamba.2.spe_mamba::SpeMamba         0.05%     948.000us        14.25%     294.873ms      14.744ms            20                                                                                []  
       MODULE::mamba.0.spa_mamba::SpaMamba         0.04%     931.000us        14.08%     291.445ms      14.572ms            20                                                                                []  
       MODULE::mamba.0.spe_mamba::SpeMamba         0.04%     905.000us        13.75%     284.681ms      14.234ms            20                                                                                []  
                           SelectiveScanFn         0.04%     902.000us         0.06%       1.266ms      63.300us            20          [[1, 64, 256], [1, 64, 256], [64, 16], [1, 16, 256], [1, 16, 256], [64]]  
                   aten::cudnn_convolution         0.04%     899.000us         0.04%     919.000us      45.950us            20                        [[1, 64, 4, 4], [9, 64, 1, 1], [], [], [], [], [], [], []]  
                                    FunLSQ         0.04%     897.000us         0.23%       4.665ms      58.312us            80                                                              [[1, 32, 8, 8], [1]]  
                                     Round         0.04%     889.000us         0.13%       2.639ms      32.987us            80                                                                      [[1024, 16]]  
                                     Round         0.04%     871.000us         0.12%       2.462ms      30.775us            80                                                                         [[64, 2]]  
                             aten::reshape         0.04%     869.000us         0.04%     916.000us       2.181us           420                                                                          [[], []]  
                           SelectiveScanFn         0.04%     864.000us         0.06%       1.195ms      59.750us            20              [[1, 64, 64], [1, 64, 64], [64, 16], [1, 16, 64], [1, 16, 64], [64]]  
       MODULE::mamba.4.spa_mamba::SpaMamba         0.04%     863.000us        14.39%     297.799ms      14.890ms            20                                                                                []  
                                    FunLSQ         0.04%     858.000us         0.22%       4.560ms      57.000us            80                                                                 [[1024, 16], [1]]  
                           SelectiveScanFn         0.04%     856.000us         0.06%       1.252ms      62.600us            20          [[256, 16, 4], [256, 16, 4], [16, 16], [256, 16, 4], [256, 16, 4], [16]]  
                           SelectiveScanFn         0.04%     832.000us         0.06%       1.178ms      58.900us            20              [[1, 64, 16], [1, 64, 16], [64, 16], [1, 16, 16], [1, 16, 16], [64]]  
                           SelectiveScanFn         0.04%     828.000us         0.06%       1.162ms      58.100us            20              [[64, 16, 4], [64, 16, 4], [16, 16], [64, 16, 4], [64, 16, 4], [16]]  
                           SelectiveScanFn         0.04%     796.000us         0.06%       1.181ms      59.050us            20              [[16, 16, 4], [16, 16, 4], [16, 16], [16, 16, 4], [16, 16, 4], [16]]  
       MODULE::mamba.2.spa_mamba::SpaMamba         0.04%     789.000us        14.29%     295.707ms      14.785ms            20                                                                                []  
                                    FunLSQ         0.04%     780.000us         0.20%       4.232ms      52.900us            80                                                                    [[64, 2], [1]]  
                                     Round         0.04%     734.000us         0.09%       1.960ms      32.667us            60                                                                        [[34, 64]]  
                                     Round         0.04%     726.000us         0.09%       1.895ms      31.583us            60                                                                        [[64, 32]]  
                                     Round         0.03%     716.000us         0.09%       1.923ms      32.050us            60                                                                      [[64, 1, 4]]  
                                     Round         0.03%     703.000us         0.09%       1.924ms      32.067us            60                                                                         [[8, 16]]  
                    SymmetricQuantFunction         0.03%     696.000us         6.21%     128.632ms       1.608ms            80                                                                        [[32], []]  
                    SymmetricQuantFunction         0.03%     695.000us         1.48%      30.725ms       1.536ms            20                                                                         [[9], []]  
                                     Round         0.03%     685.000us         0.09%       1.898ms      31.633us            60                                                                        [[33, 16]]  
                                     Round         0.03%     681.000us         0.09%       1.905ms      31.750us            60                                                                        [[32, 64]]  
                                     Round         0.03%     680.000us         0.09%       1.888ms      31.467us            60                                                                      [[16, 1, 4]]  
                                     Round         0.03%     668.000us         0.09%       1.868ms      31.133us            60                                                                         [[16, 8]]  
                               aten::empty         0.03%     652.000us         0.03%     652.000us       0.134us          4860                                                          [[], [], [], [], [], []]  
                                    FunLSQ         0.03%     644.000us         0.16%       3.262ms      54.367us            60                                                                    [[16, 8], [1]]  
                                     Round         0.03%     619.000us         0.09%       1.840ms      30.667us            60                                                                         [[16, 1]]  
                                    FunLSQ         0.03%     603.000us         0.16%       3.306ms      55.100us            60                                                                 [[64, 1, 4], [1]]  
                                    FunLSQ         0.03%     600.000us         0.16%       3.339ms      55.650us            60                                                                   [[34, 64], [1]]  
                                    FunLSQ         0.03%     596.000us         0.16%       3.235ms      53.917us            60                                                                 [[16, 1, 4], [1]]  
                                    FunLSQ         0.03%     595.000us         0.16%       3.256ms      54.267us            60                                                                   [[32, 64], [1]]  
                                 aten::add         0.03%     593.000us         0.03%     593.000us       4.236us           140                                                                   [[64], [1], []]  
                                    FunLSQ         0.03%     593.000us         0.16%       3.223ms      53.717us            60                                                                   [[33, 16], [1]]  
                                    FunLSQ         0.03%     585.000us         0.16%       3.272ms      54.533us            60                                                                    [[8, 16], [1]]  
                                    FunLSQ         0.03%     582.000us         0.16%       3.245ms      54.083us            60                                                                   [[64, 32], [1]]  
                               aten::clamp         0.03%     578.000us         0.03%     578.000us       4.129us           140                                                                    [[64], [], []]  
                                 aten::mul         0.03%     572.000us         0.03%     572.000us       4.086us           140                                                                       [[1], [64]]  
                                 aten::div         0.03%     565.000us         0.03%     565.000us       4.708us           120                                                                  [[256, 16], [1]]  
                                 aten::div         0.03%     562.000us         0.03%     562.000us       4.683us           120                                                                   [[64, 16], [1]]  
                               aten::round         0.03%     560.000us         0.03%     560.000us       4.000us           140                                                                            [[64]]  
                                 aten::mul         0.03%     560.000us         0.03%     560.000us       4.000us           140                                                                        [[64], []]  
                                    FunLSQ         0.03%     551.000us         0.15%       3.129ms      52.150us            60                                                                    [[16, 1], [1]]  
                       aten::empty_strided         0.03%     537.000us         0.03%     537.000us       0.994us           540                                                          [[], [], [], [], [], []]  
                               aten::clamp         0.03%     530.000us         0.03%     530.000us       4.417us           120                                                                [[64, 16], [], []]  
                               aten::clamp         0.03%     525.000us         0.03%     525.000us       4.375us           120                                                               [[256, 16], [], []]  
                                     Round         0.03%     522.000us         0.07%       1.453ms      36.325us            40                                                                        [[16, 64]]  
                                     Round         0.02%     510.000us         0.07%       1.474ms      36.850us            40                                                                        [[64, 64]]  
                                     Round         0.02%     504.000us         0.07%       1.494ms      37.350us            40                                                                     [[1, 64, 64]]  
                                 aten::div         0.02%     497.000us         0.02%     497.000us       4.970us           100                                                            [[1, 32, 16, 16], [1]]  
                          aten::contiguous         0.02%     497.000us         0.05%     968.000us      16.133us            60                                                                    [[64, 16], []]  
                                 aten::add         0.02%     495.000us         0.02%     495.000us       4.125us           120                                                                   [[16], [1], []]  
                                 aten::add         0.02%     494.000us         0.02%     494.000us       4.117us           120                                                               [[256, 16], [], []]  
                               aten::clamp         0.02%     493.000us         0.02%     493.000us       4.108us           120                                                                    [[16], [], []]  
                                 aten::add         0.02%     493.000us         0.02%     493.000us       4.108us           120                                                                [[64, 16], [], []]  
                                 aten::div         0.02%     493.000us         0.02%     493.000us       4.930us           100                                                              [[1, 32, 4, 4], [1]]  
                                     Round         0.02%     492.000us         0.06%       1.275ms      31.875us            40                                                                        [[16, 16]]  
                                 aten::abs         0.02%     490.000us         0.02%     491.000us       4.423us           111                                                                   [[64, 16], [0]]  
                                     Round         0.02%     487.000us         0.07%       1.442ms      36.050us            40                                                                       [[256, 64]]  
                                    FunLSQ         0.02%     485.000us         0.12%       2.516ms      62.900us            40                                                                   [[64, 64], [1]]  
                                 aten::mul         0.02%     483.000us         0.02%     483.000us       4.025us           120                                                                  [[256, 16], [1]]  
------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 2.070s
