------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                      Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  
------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                               aten::zeros         0.05%       1.062ms         0.05%       1.070ms       2.675us           400                                                              [[], [], [], [], []]  
                               aten::empty         0.03%     652.000us         0.03%     652.000us       0.134us          4860                                                          [[], [], [], [], [], []]  
                               aten::zero_         0.00%       1.000us         0.00%       1.000us       0.003us           400                                                                             [[1]]  
              MambaHSI_SINGLE_TILE_FORWARD         0.14%       2.834ms        99.98%        2.069s     103.470ms            20                                                                                []  
       MODULE::patch_embedding::Sequential        -0.31%   -6322.000us         5.34%     110.598ms       5.530ms            20                                                                                []  
                                    FunLSQ         0.01%     246.000us         0.08%       1.602ms      80.100us            20                                                            [[1, 16, 16, 16], [1]]  
                                 aten::div         0.01%     140.000us         0.01%     140.000us       7.000us            20                                                            [[1, 16, 16, 16], [1]]  
                               aten::clamp         0.01%     280.000us         0.01%     280.000us      14.000us            20                                                         [[1, 16, 16, 16], [], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us            20                                                 [[1, 16, 16, 16], [], [], [], []]  
                                     Round         0.01%     261.000us         0.04%     855.000us      42.750us            20                                                                 [[1, 16, 16, 16]]  
                                aten::sign         0.00%      76.000us         0.00%      76.000us       3.800us            20                                                                 [[1, 16, 16, 16]]  
                                 aten::abs         0.00%      58.000us         0.01%     285.000us      14.250us            20                                                                 [[1, 16, 16, 16]]  
                                 aten::abs         0.01%     229.000us         0.01%     236.000us      12.421us            19                                                            [[1, 16, 16, 16], [0]]  
                             aten::resize_         0.01%     212.000us         0.01%     212.000us       0.085us          2500                                                                     [[0], [], []]  
                                 aten::add         0.00%      85.000us         0.00%      85.000us       4.250us            20                                                         [[1, 16, 16, 16], [], []]  
                               aten::floor         0.00%      64.000us         0.00%      64.000us       3.200us            20                                                                 [[1, 16, 16, 16]]  
                                 aten::mul         0.00%      74.000us         0.00%      74.000us       3.700us            20                                                [[1, 16, 16, 16], [1, 16, 16, 16]]  
                                 aten::mul         0.00%      81.000us         0.00%      81.000us       4.050us            20                                                            [[1, 16, 16, 16], [1]]  
                              aten::select         0.08%       1.579ms         0.08%       1.586ms       1.220us          1300                                                                     [[1], [], []]  
                          aten::as_strided         0.00%       7.000us         0.00%       7.000us       0.005us          1300                                                                 [[1], [], [], []]  
                                    FunLSQ         0.01%     198.000us         0.05%       1.112ms      55.600us            20                                                             [[32, 16, 1, 1], [1]]  
                                 aten::div         0.00%      99.000us         0.00%      99.000us       4.950us            20                                                             [[32, 16, 1, 1], [1]]  
                               aten::clamp         0.00%      81.000us         0.00%      81.000us       4.050us            20                                                          [[32, 16, 1, 1], [], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us            20                                                  [[32, 16, 1, 1], [], [], [], []]  
                                     Round         0.01%     254.000us         0.03%     654.000us      32.700us            20                                                                  [[32, 16, 1, 1]]  
                                aten::sign         0.00%      65.000us         0.00%      65.000us       3.250us            20                                                                  [[32, 16, 1, 1]]  
                                 aten::abs         0.00%      53.000us         0.01%     122.000us       6.100us            20                                                                  [[32, 16, 1, 1]]  
                                 aten::abs         0.00%      72.000us         0.00%      73.000us       4.056us            18                                                             [[32, 16, 1, 1], [0]]  
                                 aten::add         0.00%      87.000us         0.00%      87.000us       4.350us            20                                                          [[32, 16, 1, 1], [], []]  
                               aten::floor         0.00%      60.000us         0.00%      60.000us       3.000us            20                                                                  [[32, 16, 1, 1]]  
                                 aten::mul         0.00%      62.000us         0.00%      62.000us       3.100us            20                                                  [[32, 16, 1, 1], [32, 16, 1, 1]]  
                                 aten::mul         0.00%      80.000us         0.00%      80.000us       4.000us            20                                                             [[32, 16, 1, 1], [1]]  
                             aten::reshape         0.04%     869.000us         0.04%     916.000us       2.181us           420                                                                          [[], []]  
                      aten::_reshape_alias         0.00%      56.000us         0.00%      56.000us       0.133us           420                                                                      [[], [], []]  
                             aten::reshape         0.06%       1.201ms         0.06%       1.209ms       0.960us          1260                                                                         [[1], []]  
                      aten::_reshape_alias         0.00%       8.000us         0.00%       8.000us       0.006us          1260                                                                     [[1], [], []]  
                                 aten::mul         0.17%       3.622ms         0.17%       3.622ms       4.312us           840                                                                          [[], []]  
                            aten::isfinite         0.09%       1.904ms         0.52%      10.757ms      25.612us           420                                                                              [[]]  
                                 aten::abs         0.06%       1.270ms         0.12%       2.472ms       5.886us           420                                                                              [[]]  
                                 aten::abs         0.07%       1.543ms         0.07%       1.543ms       4.137us           373                                                                         [[], [0]]  
                                  aten::ne         0.12%       2.385ms         0.12%       2.385ms       5.679us           420                                                                          [[], []]  
                                  aten::eq         0.08%       1.727ms         0.08%       1.727ms       4.112us           420                                                                          [[], []]  
                                 aten::all         0.08%       1.746ms         0.21%       4.439ms      10.569us           420                                                                              [[]]  
                             aten::view_as         0.00%      76.000us         0.00%      79.000us       0.094us           840                                                                          [[], []]  
                                aten::view         0.00%       9.000us         0.00%       9.000us       0.005us          1680                                                                          [[], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us           840                                                              [[], [], [], [], []]  
                               aten::copy_        30.75%     636.516ms        30.75%     636.516ms     505.171us          1260                                                                      [[], [], []]  
                          aten::is_nonzero         1.34%      27.667ms        55.88%        1.157s       1.377ms           840                                                                              [[]]  
                                aten::item         8.04%     166.451ms        55.86%        1.156s       1.376ms           840                                                                              [[]]  
                 aten::_local_scalar_dense        55.83%        1.156s        55.83%        1.156s       1.376ms           840                                                                              [[]]  
                                  aten::le         0.11%       2.332ms         0.11%       2.332ms       5.552us           420                                                                          [[], []]  
                                 aten::any         0.08%       1.581ms         0.15%       3.081ms       7.336us           420                                                                              [[]]  
                              aten::detach         0.01%     132.000us         0.01%     132.000us       0.314us           420                                                                              [[]]  
                    SymmetricQuantFunction         0.03%     696.000us         6.21%     128.632ms       1.608ms            80                                                                        [[32], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us           480                                                          [[], [], [], [], [], []]  
                          aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us           420                                                                              [[]]  
                             aten::detach_         0.00%       0.000us         0.00%       0.000us       0.000us           420                                                                              [[]]  
                                  aten::to        -0.51%  -10509.000us        30.64%     634.251ms       1.510ms           420                                                  [[], [], [], [], [], [], [], []]  
                            aten::_to_copy         2.58%      53.302ms        30.61%     633.652ms       1.509ms           420                                                      [[], [], [], [], [], [], []]  
                       aten::empty_strided         0.03%     537.000us         0.03%     537.000us       0.994us           540                                                          [[], [], [], [], [], []]  
                          aten::reciprocal         0.10%       2.092ms         0.10%       2.092ms       4.981us           420                                                                             [[1]]  
                                 aten::mul         0.10%       2.044ms         0.10%       2.044ms       4.867us           420                                                                         [[1], []]  
                                 aten::mul         0.02%     327.000us         0.02%     327.000us       4.088us            80                                                                       [[1], [32]]  
                                 aten::add         0.02%     341.000us         0.02%     341.000us       4.263us            80                                                                   [[32], [1], []]  
                               aten::round         0.02%     326.000us         0.02%     326.000us       4.075us            80                                                                            [[32]]  
                               aten::clamp         0.02%     333.000us         0.02%     333.000us       4.162us            80                                                                    [[32], [], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us            80                                                            [[32], [], [], [], []]  
                                 aten::mul         0.02%     321.000us         0.02%     321.000us       4.013us            80                                                                        [[32], []]  
                              aten::conv2d        -0.00%     -23.000us         0.07%       1.525ms      76.250us            20                           [[1, 16, 16, 16], [32, 16, 1, 1], [32], [], [], [], []]  
                         aten::convolution         0.01%     173.000us         0.07%       1.482ms      74.100us            20                   [[1, 16, 16, 16], [32, 16, 1, 1], [32], [], [], [], [], [], []]  
                        aten::_convolution         0.01%     140.000us         0.07%       1.444ms      72.200us            20   [[1, 16, 16, 16], [32, 16, 1, 1], [32], [], [], [], [], [], [], [], [], [], []]  
                   aten::cudnn_convolution         0.06%       1.160ms         0.06%       1.160ms      58.000us            20                     [[1, 16, 16, 16], [32, 16, 1, 1], [], [], [], [], [], [], []]  
                             aten::reshape         0.00%      41.000us         0.00%      42.000us       2.100us            20                                                                        [[32], []]  
                      aten::_reshape_alias         0.00%       1.000us         0.00%       1.000us       0.050us            20                                                                    [[32], [], []]  
                                aten::add_         0.00%     102.000us         0.00%     102.000us       5.100us            20                                              [[1, 32, 16, 16], [1, 32, 1, 1], []]  
                                aten::relu         0.00%      86.000us         0.02%     374.000us       6.233us            60                                                                 [[1, 32, 16, 16]]  
                           aten::clamp_min         0.01%     293.000us         0.01%     293.000us       4.883us            60                                                             [[1, 32, 16, 16], []]  
                                    FunLSQ         0.06%       1.194ms         0.29%       6.056ms      60.560us           100                                                            [[1, 32, 16, 16], [1]]  
                                 aten::div         0.02%     497.000us         0.02%     497.000us       4.970us           100                                                            [[1, 32, 16, 16], [1]]  
                               aten::clamp         0.02%     415.000us         0.02%     415.000us       4.150us           100                                                         [[1, 32, 16, 16], [], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us           100                                                 [[1, 32, 16, 16], [], [], [], []]  
                                     Round         0.06%       1.274ms         0.17%       3.544ms      35.440us           100                                                                 [[1, 32, 16, 16]]  
                                aten::sign         0.02%     367.000us         0.02%     367.000us       3.670us           100                                                                 [[1, 32, 16, 16]]  
                                 aten::abs         0.01%     274.000us         0.03%     720.000us       7.200us           100                                                                 [[1, 32, 16, 16]]  
                                 aten::abs         0.02%     420.000us         0.02%     464.000us       4.936us            94                                                            [[1, 32, 16, 16], [0]]  
                                 aten::add         0.02%     450.000us         0.02%     450.000us       4.500us           100                                                         [[1, 32, 16, 16], [], []]  
                               aten::floor         0.02%     349.000us         0.02%     349.000us       3.490us           100                                                                 [[1, 32, 16, 16]]  
                                 aten::mul         0.02%     366.000us         0.02%     366.000us       3.660us           100                                                [[1, 32, 16, 16], [1, 32, 16, 16]]  
                                 aten::mul         0.02%     406.000us         0.02%     406.000us       4.060us           100                                                            [[1, 32, 16, 16], [1]]  
                MODULE::mamba.0::BothMamba         0.09%       1.911ms        28.18%     583.236ms      29.162ms            20                                                                                []  
       MODULE::mamba.0.spa_mamba::SpaMamba         0.04%     931.000us        14.08%     291.445ms      14.572ms            20                                                                                []  
                             aten::permute         0.00%      61.000us         0.00%      74.000us       1.850us            40                                                             [[1, 32, 16, 16], []]  
                          aten::as_strided         0.00%      20.000us         0.00%      20.000us       0.500us            40                                                     [[1, 32, 16, 16], [], [], []]  
                          aten::contiguous         0.00%      69.000us         0.02%     377.000us       9.425us            40                                                             [[1, 16, 16, 32], []]  
                               aten::clone         0.00%      84.000us         0.02%     344.000us       8.600us            40                                                             [[1, 16, 16, 32], []]  
                          aten::empty_like         0.00%      48.000us         0.00%      60.000us       1.500us            40                                             [[1, 16, 16, 32], [], [], [], [], []]  
                               aten::copy_         0.01%     198.000us         0.01%     198.000us       4.950us            40                                            [[1, 16, 16, 32], [1, 16, 16, 32], []]  
                                aten::view         0.00%       0.000us         0.00%       0.000us       0.000us            40                                                             [[1, 16, 16, 32], []]  
    MODULE::mamba.0.spa_mamba.mamba::Mamba        -0.67%  -13812.000us        14.00%     289.814ms      14.491ms            20                                                                                []  
                                    FunLSQ         0.01%     269.000us         0.06%       1.247ms      62.350us            20                                                               [[1, 256, 32], [1]]  
------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 2.070s
