------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                      Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  
------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                 aten::_local_scalar_dense        52.29%     735.215ms        52.29%     735.215ms     875.256us           840                                                                              [[]]  
                               aten::copy_        28.18%     396.151ms        28.18%     396.151ms     314.406us          1260                                                                      [[], [], []]  
                                aten::item         8.10%     113.869ms        52.33%     735.779ms     875.927us           840                                                                              [[]]  
                          aten::is_nonzero         3.36%      47.182ms        52.37%     736.230ms     876.464us           840                                                                              [[]]  
                            aten::_to_copy         1.07%      15.039ms        27.96%     393.095ms     935.940us           420                                                      [[], [], [], [], [], [], []]  
                                 aten::mul         0.24%       3.409ms         0.24%       3.409ms       4.058us           840                                                                          [[], []]  
              MambaHSI_SINGLE_TILE_FORWARD         0.21%       2.893ms        99.99%        1.406s      70.292ms            20                                                                                []  
                    SymmetricQuantFunction         0.21%       2.885ms         6.25%      87.824ms       1.098ms            80                                                                        [[32], []]  
                                  aten::ne         0.17%       2.394ms         0.17%       2.394ms       5.700us           420                                                                          [[], []]  
                                  aten::le         0.17%       2.324ms         0.17%       2.324ms       5.533us           420                                                                          [[], []]  
                          aten::reciprocal         0.16%       2.249ms         0.16%       2.249ms       5.355us           420                                                                             [[1]]  
                    SymmetricQuantFunction         0.15%       2.082ms         3.49%      49.112ms     818.533us            60                                                                         [[8], []]  
                            aten::isfinite         0.14%       1.970ms         0.75%      10.566ms      25.157us           420                                                                              [[]]  
                MODULE::mamba.0::BothMamba         0.13%       1.873ms        35.17%     494.528ms      24.726ms            20                                                                                []  
                                 aten::mul         0.13%       1.861ms         0.13%       1.861ms       4.431us           420                                                                         [[1], []]  
                MODULE::mamba.4::BothMamba         0.13%       1.861ms        23.58%     331.582ms      16.579ms            20                                                                                []  
    MODULE::mamba.2.spe_mamba.mamba::Mamba         0.13%       1.827ms         9.81%     137.990ms       6.899ms            20                                                                                []  
                                 aten::all         0.13%       1.780ms         0.32%       4.430ms      10.548us           420                                                                              [[]]  
                MODULE::mamba.2::BothMamba         0.13%       1.775ms        22.42%     315.201ms      15.760ms            20                                                                                []  
                                  aten::eq         0.12%       1.707ms         0.12%       1.707ms       4.064us           420                                                                          [[], []]  
                                 aten::any         0.11%       1.555ms         0.23%       3.237ms       7.707us           420                                                                              [[]]  
                              aten::select         0.11%       1.554ms         0.11%       1.555ms       1.196us          1300                                                                     [[1], [], []]  
                                 aten::abs         0.10%       1.472ms         0.10%       1.472ms       4.194us           351                                                                         [[], [0]]  
                                     Round         0.10%       1.434ms         0.28%       4.005ms      33.375us           120                                                                        [[64, 16]]  
                                     Round         0.10%       1.431ms         0.28%       3.992ms      33.267us           120                                                                       [[256, 16]]  
                   aten::cudnn_convolution         0.09%       1.308ms         0.09%       1.328ms      66.400us            20                       [[1, 32, 4, 4], [64, 32, 1, 1], [], [], [], [], [], [], []]  
                                     Round         0.09%       1.300ms         0.25%       3.534ms      35.340us           100                                                                 [[1, 32, 16, 16]]  
                                 aten::abs         0.09%       1.295ms         0.17%       2.443ms       5.817us           420                                                                              [[]]  
                                     Round         0.09%       1.273ms         0.24%       3.406ms      34.060us           100                                                                   [[1, 32, 4, 4]]  
                                    FunLSQ         0.09%       1.256ms         0.49%       6.833ms      56.942us           120                                                                   [[64, 16], [1]]  
                                    FunLSQ         0.09%       1.208ms         0.48%       6.756ms      56.300us           120                                                                  [[256, 16], [1]]  
                                    FunLSQ         0.08%       1.171ms         0.43%       6.018ms      60.180us           100                                                            [[1, 32, 16, 16], [1]]  
                             aten::reshape         0.08%       1.169ms         0.08%       1.175ms       0.933us          1260                                                                         [[1], []]  
                   aten::cudnn_convolution         0.08%       1.127ms         0.08%       1.127ms      56.350us            20                     [[1, 16, 16, 16], [32, 16, 1, 1], [], [], [], [], [], [], []]  
                                    FunLSQ         0.08%       1.094ms         0.42%       5.856ms      58.560us           100                                                              [[1, 32, 4, 4], [1]]  
                                     Round         0.07%       1.000ms         0.20%       2.742ms      34.275us            80                                                                   [[1, 32, 8, 8]]  
                                 aten::cat         0.07%     994.000us         0.07%     994.000us       8.283us           120                                                                          [[], []]  
       MODULE::mamba.0.spa_mamba::SpaMamba         0.07%     944.000us        20.63%     289.976ms      14.499ms            20                                                                                []  
       MODULE::mamba.4.spe_mamba::SpeMamba         0.07%     931.000us        13.50%     189.815ms       9.491ms            20                                                                                []  
       MODULE::mamba.0.spe_mamba::SpeMamba         0.07%     927.000us        14.05%     197.547ms       9.877ms            20                                                                                []  
                                    FunLSQ         0.07%     915.000us         0.33%       4.704ms      58.800us            80                                                              [[1, 32, 8, 8], [1]]  
                   aten::cudnn_convolution         0.06%     907.000us         0.07%     927.000us      46.350us            20                        [[1, 64, 4, 4], [9, 64, 1, 1], [], [], [], [], [], [], []]  
                                     Round         0.06%     903.000us         0.19%       2.636ms      32.950us            80                                                                      [[1024, 16]]  
       MODULE::mamba.4.spa_mamba::SpaMamba         0.06%     899.000us         9.58%     134.723ms       6.736ms            20                                                                                []  
                           SelectiveScanFn         0.06%     890.000us         0.10%       1.475ms      73.750us            20          [[1, 64, 256], [1, 64, 256], [64, 16], [1, 16, 256], [1, 16, 256], [64]]  
       MODULE::mamba.2.spe_mamba::SpeMamba         0.06%     888.000us         9.93%     139.543ms       6.977ms            20                                                                                []  
       MODULE::mamba.2.spa_mamba::SpaMamba         0.06%     876.000us        12.00%     168.752ms       8.438ms            20                                                                                []  
                                     Round         0.06%     856.000us         0.18%       2.466ms      30.825us            80                                                                         [[64, 2]]  
                                    FunLSQ         0.06%     856.000us         0.32%       4.528ms      56.600us            80                                                                 [[1024, 16], [1]]  
                           SelectiveScanFn         0.06%     843.000us         0.09%       1.227ms      61.350us            20          [[256, 16, 4], [256, 16, 4], [16, 16], [256, 16, 4], [256, 16, 4], [16]]  
                           SelectiveScanFn         0.06%     835.000us         0.08%       1.155ms      57.750us            20              [[1, 64, 16], [1, 64, 16], [64, 16], [1, 16, 16], [1, 16, 16], [64]]  
                           SelectiveScanFn         0.06%     815.000us         0.08%       1.165ms      58.250us            20              [[16, 16, 4], [16, 16, 4], [16, 16], [16, 16, 4], [16, 16, 4], [16]]  
                           SelectiveScanFn         0.06%     814.000us         0.08%       1.167ms      58.350us            20              [[1, 64, 64], [1, 64, 64], [64, 16], [1, 16, 64], [1, 16, 64], [64]]  
                                    FunLSQ         0.06%     804.000us         0.30%       4.250ms      53.125us            80                                                                    [[64, 2], [1]]  
                           SelectiveScanFn         0.06%     802.000us         0.08%       1.126ms      56.300us            20              [[64, 16, 4], [64, 16, 4], [16, 16], [64, 16, 4], [64, 16, 4], [16]]  
                    SymmetricQuantFunction         0.05%     749.000us        10.84%     152.335ms       1.088ms           140                                                                        [[64], []]  
                                     Round         0.05%     747.000us         0.14%       1.955ms      32.583us            60                                                                        [[34, 64]]  
                                     Round         0.05%     728.000us         0.14%       1.933ms      32.217us            60                                                                      [[64, 1, 4]]  
                                     Round         0.05%     724.000us         0.14%       1.918ms      31.967us            60                                                                        [[64, 32]]  
                                     Round         0.05%     720.000us         0.14%       1.914ms      31.900us            60                                                                        [[33, 16]]  
                                     Round         0.05%     717.000us         0.13%       1.891ms      31.517us            60                                                                         [[16, 8]]  
                               aten::zeros         0.05%     713.000us         0.05%     718.000us       1.795us           400                                                              [[], [], [], [], []]  
                                     Round         0.05%     701.000us         0.14%       1.932ms      32.200us            60                                                                         [[8, 16]]  
                                     Round         0.05%     694.000us         0.14%       1.921ms      32.017us            60                                                                        [[32, 64]]  
                    SymmetricQuantFunction         0.05%     694.000us         2.14%      30.099ms       1.505ms            20                                                                         [[9], []]  
                                     Round         0.05%     688.000us         0.14%       1.912ms      31.867us            60                                                                      [[16, 1, 4]]  
                                    FunLSQ         0.05%     641.000us         0.23%       3.267ms      54.450us            60                                                                    [[16, 8], [1]]  
                                     Round         0.05%     637.000us         0.13%       1.854ms      30.900us            60                                                                         [[16, 1]]  
                                    FunLSQ         0.04%     624.000us         0.23%       3.280ms      54.667us            60                                                                 [[16, 1, 4], [1]]  
                                    FunLSQ         0.04%     618.000us         0.23%       3.289ms      54.817us            60                                                                    [[8, 16], [1]]  
                                    FunLSQ         0.04%     616.000us         0.24%       3.325ms      55.417us            60                                                                 [[64, 1, 4], [1]]  
                                    FunLSQ         0.04%     614.000us         0.23%       3.285ms      54.750us            60                                                                   [[32, 64], [1]]  
                                    FunLSQ         0.04%     612.000us         0.24%       3.325ms      55.417us            60                                                                   [[34, 64], [1]]  
                                    FunLSQ         0.04%     609.000us         0.23%       3.291ms      54.850us            60                                                                   [[64, 32], [1]]  
                               aten::empty         0.04%     607.000us         0.04%     607.000us       0.125us          4860                                                          [[], [], [], [], [], []]  
                                    FunLSQ         0.04%     605.000us         0.23%       3.259ms      54.317us            60                                                                   [[33, 16], [1]]  
                             aten::reshape         0.04%     586.000us         0.05%     639.000us       1.521us           420                                                                          [[], []]  
                               aten::clamp         0.04%     582.000us         0.04%     582.000us       4.157us           140                                                                    [[64], [], []]  
                                    FunLSQ         0.04%     576.000us         0.22%       3.162ms      52.700us            60                                                                    [[16, 1], [1]]  
                                 aten::add         0.04%     570.000us         0.04%     570.000us       4.071us           140                                                                   [[64], [1], []]  
                               aten::round         0.04%     565.000us         0.04%     565.000us       4.036us           140                                                                            [[64]]  
                                     Round         0.04%     564.000us         0.11%       1.511ms      37.775us            40                                                                       [[256, 64]]  
                                 aten::mul         0.04%     560.000us         0.04%     560.000us       4.000us           140                                                                       [[1], [64]]  
                                 aten::mul         0.04%     560.000us         0.04%     560.000us       4.000us           140                                                                        [[64], []]  
                                 aten::div         0.04%     560.000us         0.04%     560.000us       4.667us           120                                                                   [[64, 16], [1]]  
                                 aten::div         0.04%     555.000us         0.04%     555.000us       4.625us           120                                                                  [[256, 16], [1]]  
                       aten::empty_strided         0.04%     542.000us         0.04%     542.000us       1.004us           540                                                          [[], [], [], [], [], []]  
                                 aten::add         0.04%     542.000us         0.04%     542.000us       4.517us           120                                                                [[64, 16], [], []]  
                               aten::clamp         0.04%     532.000us         0.04%     532.000us       4.433us           120                                                                [[64, 16], [], []]  
                                     Round         0.04%     524.000us         0.10%       1.438ms      35.950us            40                                                                        [[16, 64]]  
                                     Round         0.04%     520.000us         0.10%       1.466ms      36.650us            40                                                                        [[64, 64]]  
                               aten::clamp         0.04%     517.000us         0.04%     517.000us       4.308us           120                                                               [[256, 16], [], []]  
                                     Round         0.04%     515.000us         0.11%       1.485ms      37.125us            40                                                                     [[1, 64, 64]]  
                                 aten::add         0.04%     500.000us         0.04%     500.000us       4.167us           120                                                               [[256, 16], [], []]  
                                 aten::div         0.04%     496.000us         0.04%     496.000us       4.960us           100                                                            [[1, 32, 16, 16], [1]]  
                               aten::clamp         0.04%     493.000us         0.04%     493.000us       4.108us           120                                                                    [[16], [], []]  
                                 aten::div         0.03%     487.000us         0.03%     487.000us       4.870us           100                                                              [[1, 32, 4, 4], [1]]  
                                 aten::add         0.03%     485.000us         0.03%     485.000us       4.042us           120                                                                   [[16], [1], []]  
                                 aten::mul         0.03%     484.000us         0.03%     484.000us       4.033us           120                                                                  [[256, 16], [1]]  
                                 aten::mul         0.03%     481.000us         0.03%     481.000us       4.008us           120                                                                        [[16], []]  
------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 1.406s
