------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                      Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  
------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                               aten::zeros         0.05%     713.000us         0.05%     718.000us       1.795us           400                                                              [[], [], [], [], []]  
                               aten::empty         0.04%     607.000us         0.04%     607.000us       0.125us          4860                                                          [[], [], [], [], [], []]  
                               aten::zero_         0.00%       1.000us         0.00%       1.000us       0.003us           400                                                                             [[1]]  
              MambaHSI_SINGLE_TILE_FORWARD         0.21%       2.893ms        99.99%        1.406s      70.292ms            20                                                                                []  
       MODULE::patch_embedding::Sequential        -0.34%   -4793.000us         5.41%      76.019ms       3.801ms            20                                                                                []  
                                    FunLSQ         0.02%     244.000us         0.09%       1.271ms      63.550us            20                                                            [[1, 16, 16, 16], [1]]  
                                 aten::div         0.01%     133.000us         0.01%     133.000us       6.650us            20                                                            [[1, 16, 16, 16], [1]]  
                               aten::clamp         0.01%     101.000us         0.01%     101.000us       5.050us            20                                                         [[1, 16, 16, 16], [], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us            20                                                 [[1, 16, 16, 16], [], [], [], []]  
                                     Round         0.02%     281.000us         0.05%     712.000us      35.600us            20                                                                 [[1, 16, 16, 16]]  
                                aten::sign         0.01%      72.000us         0.01%      72.000us       3.600us            20                                                                 [[1, 16, 16, 16]]  
                                 aten::abs         0.00%      49.000us         0.01%     135.000us       6.750us            20                                                                 [[1, 16, 16, 16]]  
                                 aten::abs         0.01%      88.000us         0.01%      90.000us       4.500us            20                                                            [[1, 16, 16, 16], [0]]  
                             aten::resize_         0.02%     330.000us         0.02%     330.000us       0.132us          2500                                                                     [[0], [], []]  
                                 aten::add         0.01%      85.000us         0.01%      85.000us       4.250us            20                                                         [[1, 16, 16, 16], [], []]  
                               aten::floor         0.00%      62.000us         0.00%      62.000us       3.100us            20                                                                 [[1, 16, 16, 16]]  
                                 aten::mul         0.01%      72.000us         0.01%      72.000us       3.600us            20                                                [[1, 16, 16, 16], [1, 16, 16, 16]]  
                                 aten::mul         0.01%      81.000us         0.01%      81.000us       4.050us            20                                                            [[1, 16, 16, 16], [1]]  
                              aten::select         0.11%       1.554ms         0.11%       1.555ms       1.196us          1300                                                                     [[1], [], []]  
                          aten::as_strided         0.00%       1.000us         0.00%       1.000us       0.001us          1300                                                                 [[1], [], [], []]  
                                    FunLSQ         0.02%     218.000us         0.08%       1.118ms      55.900us            20                                                             [[32, 16, 1, 1], [1]]  
                                 aten::div         0.01%      86.000us         0.01%      86.000us       4.300us            20                                                             [[32, 16, 1, 1], [1]]  
                               aten::clamp         0.01%      81.000us         0.01%      81.000us       4.050us            20                                                          [[32, 16, 1, 1], [], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us            20                                                  [[32, 16, 1, 1], [], [], [], []]  
                                     Round         0.02%     263.000us         0.05%     653.000us      32.650us            20                                                                  [[32, 16, 1, 1]]  
                                aten::sign         0.00%      65.000us         0.00%      65.000us       3.250us            20                                                                  [[32, 16, 1, 1]]  
                                 aten::abs         0.00%      49.000us         0.01%     122.000us       6.100us            20                                                                  [[32, 16, 1, 1]]  
                                 aten::abs         0.01%      72.000us         0.01%      73.000us       4.056us            18                                                             [[32, 16, 1, 1], [0]]  
                                 aten::add         0.01%      81.000us         0.01%      81.000us       4.050us            20                                                          [[32, 16, 1, 1], [], []]  
                               aten::floor         0.00%      60.000us         0.00%      60.000us       3.000us            20                                                                  [[32, 16, 1, 1]]  
                                 aten::mul         0.00%      62.000us         0.00%      62.000us       3.100us            20                                                  [[32, 16, 1, 1], [32, 16, 1, 1]]  
                                 aten::mul         0.01%      80.000us         0.01%      80.000us       4.000us            20                                                             [[32, 16, 1, 1], [1]]  
                             aten::reshape         0.04%     586.000us         0.05%     639.000us       1.521us           420                                                                          [[], []]  
                      aten::_reshape_alias         0.00%      64.000us         0.00%      64.000us       0.152us           420                                                                      [[], [], []]  
                             aten::reshape         0.08%       1.169ms         0.08%       1.175ms       0.933us          1260                                                                         [[1], []]  
                      aten::_reshape_alias         0.00%       6.000us         0.00%       6.000us       0.005us          1260                                                                     [[1], [], []]  
                                 aten::mul         0.24%       3.409ms         0.24%       3.409ms       4.058us           840                                                                          [[], []]  
                            aten::isfinite         0.14%       1.970ms         0.75%      10.566ms      25.157us           420                                                                              [[]]  
                                 aten::abs         0.09%       1.295ms         0.17%       2.443ms       5.817us           420                                                                              [[]]  
                                 aten::abs         0.10%       1.472ms         0.10%       1.472ms       4.194us           351                                                                         [[], [0]]  
                                  aten::ne         0.17%       2.394ms         0.17%       2.394ms       5.700us           420                                                                          [[], []]  
                                  aten::eq         0.12%       1.707ms         0.12%       1.707ms       4.064us           420                                                                          [[], []]  
                                 aten::all         0.13%       1.780ms         0.32%       4.430ms      10.548us           420                                                                              [[]]  
                             aten::view_as         0.01%      72.000us         0.01%      78.000us       0.093us           840                                                                          [[], []]  
                                aten::view         0.00%       6.000us         0.00%       6.000us       0.004us          1680                                                                          [[], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us           840                                                              [[], [], [], [], []]  
                               aten::copy_        28.18%     396.151ms        28.18%     396.151ms     314.406us          1260                                                                      [[], [], []]  
                          aten::is_nonzero         3.36%      47.182ms        52.37%     736.230ms     876.464us           840                                                                              [[]]  
                                aten::item         8.10%     113.869ms        52.33%     735.779ms     875.927us           840                                                                              [[]]  
                 aten::_local_scalar_dense        52.29%     735.215ms        52.29%     735.215ms     875.256us           840                                                                              [[]]  
                                  aten::le         0.17%       2.324ms         0.17%       2.324ms       5.533us           420                                                                          [[], []]  
                                 aten::any         0.11%       1.555ms         0.23%       3.237ms       7.707us           420                                                                              [[]]  
                              aten::detach         0.00%      59.000us         0.00%      59.000us       0.140us           420                                                                              [[]]  
                    SymmetricQuantFunction         0.21%       2.885ms         6.25%      87.824ms       1.098ms            80                                                                        [[32], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us           480                                                          [[], [], [], [], [], []]  
                          aten::lift_fresh         0.00%       2.000us         0.00%       2.000us       0.005us           420                                                                              [[]]  
                             aten::detach_         0.00%       0.000us         0.00%       0.000us       0.000us           420                                                                              [[]]  
                                  aten::to        -0.12%   -1747.000us        28.00%     393.673ms     937.317us           420                                                  [[], [], [], [], [], [], [], []]  
                            aten::_to_copy         1.07%      15.039ms        27.96%     393.095ms     935.940us           420                                                      [[], [], [], [], [], [], []]  
                       aten::empty_strided         0.04%     542.000us         0.04%     542.000us       1.004us           540                                                          [[], [], [], [], [], []]  
                          aten::reciprocal         0.16%       2.249ms         0.16%       2.249ms       5.355us           420                                                                             [[1]]  
                                 aten::mul         0.13%       1.861ms         0.13%       1.861ms       4.431us           420                                                                         [[1], []]  
                                 aten::mul         0.02%     324.000us         0.02%     324.000us       4.050us            80                                                                       [[1], [32]]  
                                 aten::add         0.02%     323.000us         0.02%     323.000us       4.037us            80                                                                   [[32], [1], []]  
                               aten::round         0.02%     319.000us         0.02%     319.000us       3.987us            80                                                                            [[32]]  
                               aten::clamp         0.02%     330.000us         0.02%     330.000us       4.125us            80                                                                    [[32], [], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us            80                                                            [[32], [], [], [], []]  
                                 aten::mul         0.02%     323.000us         0.02%     323.000us       4.037us            80                                                                        [[32], []]  
                              aten::conv2d         0.00%      50.000us         0.11%       1.494ms      74.700us            20                           [[1, 16, 16, 16], [32, 16, 1, 1], [32], [], [], [], []]  
                         aten::convolution         0.01%     101.000us         0.10%       1.448ms      72.400us            20                   [[1, 16, 16, 16], [32, 16, 1, 1], [32], [], [], [], [], [], []]  
                        aten::_convolution         0.01%     144.000us         0.10%       1.410ms      70.500us            20   [[1, 16, 16, 16], [32, 16, 1, 1], [32], [], [], [], [], [], [], [], [], [], []]  
                   aten::cudnn_convolution         0.08%       1.127ms         0.08%       1.127ms      56.350us            20                     [[1, 16, 16, 16], [32, 16, 1, 1], [], [], [], [], [], [], []]  
                             aten::reshape         0.00%      45.000us         0.00%      45.000us       2.250us            20                                                                        [[32], []]  
                      aten::_reshape_alias         0.00%       0.000us         0.00%       0.000us       0.000us            20                                                                    [[32], [], []]  
                                aten::add_         0.01%      99.000us         0.01%      99.000us       4.950us            20                                              [[1, 32, 16, 16], [1, 32, 1, 1], []]  
                                aten::relu         0.01%      90.000us         0.03%     362.000us       6.033us            60                                                                 [[1, 32, 16, 16]]  
                           aten::clamp_min         0.02%     282.000us         0.02%     282.000us       4.700us            60                                                             [[1, 32, 16, 16], []]  
                                    FunLSQ         0.08%       1.171ms         0.43%       6.018ms      60.180us           100                                                            [[1, 32, 16, 16], [1]]  
                                 aten::div         0.04%     496.000us         0.04%     496.000us       4.960us           100                                                            [[1, 32, 16, 16], [1]]  
                               aten::clamp         0.03%     414.000us         0.03%     414.000us       4.140us           100                                                         [[1, 32, 16, 16], [], []]  
                                  aten::to         0.00%       0.000us         0.00%       0.000us       0.000us           100                                                 [[1, 32, 16, 16], [], [], [], []]  
                                     Round         0.09%       1.300ms         0.25%       3.534ms      35.340us           100                                                                 [[1, 32, 16, 16]]  
                                aten::sign         0.03%     372.000us         0.03%     372.000us       3.720us           100                                                                 [[1, 32, 16, 16]]  
                                 aten::abs         0.02%     292.000us         0.05%     706.000us       7.060us           100                                                                 [[1, 32, 16, 16]]  
                                 aten::abs         0.03%     404.000us         0.03%     451.000us       4.849us            93                                                            [[1, 32, 16, 16], [0]]  
                                 aten::add         0.03%     410.000us         0.03%     410.000us       4.100us           100                                                         [[1, 32, 16, 16], [], []]  
                               aten::floor         0.02%     344.000us         0.02%     344.000us       3.440us           100                                                                 [[1, 32, 16, 16]]  
                                 aten::mul         0.03%     365.000us         0.03%     365.000us       3.650us           100                                                [[1, 32, 16, 16], [1, 32, 16, 16]]  
                                 aten::mul         0.03%     403.000us         0.03%     403.000us       4.030us           100                                                            [[1, 32, 16, 16], [1]]  
                MODULE::mamba.0::BothMamba         0.13%       1.873ms        35.17%     494.528ms      24.726ms            20                                                                                []  
       MODULE::mamba.0.spa_mamba::SpaMamba         0.07%     944.000us        20.63%     289.976ms      14.499ms            20                                                                                []  
                             aten::permute         0.00%      59.000us         0.01%      77.000us       1.925us            40                                                             [[1, 32, 16, 16], []]  
                          aten::as_strided         0.00%      20.000us         0.00%      20.000us       0.500us            40                                                     [[1, 32, 16, 16], [], [], []]  
                          aten::contiguous         0.00%      41.000us         0.03%     387.000us       9.675us            40                                                             [[1, 16, 16, 32], []]  
                               aten::clone         0.01%      91.000us         0.03%     355.000us       8.875us            40                                                             [[1, 16, 16, 32], []]  
                          aten::empty_like         0.00%      44.000us         0.00%      67.000us       1.675us            40                                             [[1, 16, 16, 32], [], [], [], [], []]  
                               aten::copy_         0.01%     204.000us         0.01%     204.000us       5.100us            40                                            [[1, 16, 16, 32], [1, 16, 16, 32], []]  
                                aten::view         0.00%       0.000us         0.00%       0.000us       0.000us            40                                                             [[1, 16, 16, 32], []]  
    MODULE::mamba.0.spa_mamba.mamba::Mamba        -1.66%  -23376.000us        20.51%     288.356ms      14.418ms            20                                                                                []  
                                    FunLSQ         0.02%     270.000us         0.09%       1.239ms      61.950us            20                                                               [[1, 256, 32], [1]]  
------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 1.406s
