core,time,saturation_count,count,abs_sum,squared_error,reference_squared,max_abs_error,mae,relative_l2
blk0_spa/state,0,0,8192,0.0,0.0,0.03961702562494558,0.0,0.0,0.0
blk0_spa/c_readout,0,0,512,0.0,0.0,0.019524956894092203,0.0,0.0,0.0
blk0_spa/d_path,0,0,512,7.876672984963307e-07,3.918577603391115e-15,19.599686747829104,1.047371789297813e-08,1.5384126923756458e-09,1.4139682602038301e-08
blk0_spa/readout,0,0,512,7.876672984963307e-07,3.918577603391115e-15,20.30128124513268,1.047371789297813e-08,1.5384126923756458e-09,1.3893206859593501e-08
blk0_spa/state,1,0,8192,0.0,0.0,0.09743740089475561,0.0,0.0,0.0
blk0_spa/c_readout,1,0,512,0.0,0.0,0.050215021536517634,0.0,0.0,0.0
blk0_spa/d_path,1,0,512,8.233689747783046e-07,4.136022739283356e-15,20.64604419461655,1.280121075808438e-08,1.6081425288638762e-09,1.415379928445202e-08
blk0_spa/readout,1,0,512,8.233689747783046e-07,4.136022739283356e-15,21.816304306066026,1.280121075808438e-08,1.6081425288638762e-09,1.376895141574882e-08
blk0_spa/state,2,0,8192,0.0,0.0,0.14057941562894322,0.0,0.0,0.0
blk0_spa/c_readout,2,0,512,0.0,0.0,0.0638805418041703,0.0,0.0,0.0
blk0_spa/d_path,2,0,512,7.760850966320731e-07,3.7924799972237275e-15,19.802729859819763,9.309971460425004e-09,1.5157912043595179e-09,1.3838821827604686e-08
blk0_spa/readout,2,0,512,7.760850966320731e-07,3.7924799972237275e-15,21.128268770193564,9.309971460425004e-09,1.5157912043595179e-09,1.3397682851533354e-08
blk0_spa/state,3,0,8192,0.0,0.0,0.17632759215429217,0.0,0.0,0.0
blk0_spa/c_readout,3,0,512,0.0,0.0,0.07250325157022787,0.0,0.0,0.0
blk0_spa/d_path,3,0,512,7.938590407263746e-07,4.1461800753492546e-15,20.64037259680481,1.3964957190637506e-08,1.5505059389187004e-09,1.4173115089307912e-08
blk0_spa/readout,3,0,512,7.938590407263746e-07,4.1461800753492546e-15,22.000691634521143,1.3964957190637506e-08,1.5505059389187004e-09,1.372795709511413e-08
blk0_spa/state,4,0,8192,0.0,0.0,0.2167880488532057,0.0,0.0,0.0
blk0_spa/c_readout,4,0,512,0.0,0.0,0.08606926529614219,0.0,0.0,0.0
blk0_spa/d_path,4,0,512,7.994174673342513e-07,4.227003140628771e-15,21.354254381556466,1.1637464325531255e-08,1.5613622408872097e-09,1.4069351479584343e-08
blk0_spa/readout,4,0,512,7.994174673342513e-07,4.227003140628771e-15,22.94095735994758,1.1637464325531255e-08,1.5613622408872097e-09,1.3574083500382104e-08
blk0_spa/state,5,0,8192,0.0,0.0,0.25713068814187234,0.0,0.0,0.0
blk0_spa/c_readout,5,0,512,0.0,0.0,0.09768221164951155,0.0,0.0,0.0
blk0_spa/d_path,5,0,512,7.603819724977257e-07,3.7267329101021575e-15,19.42005197100493,1.0085802415460421e-08,1.4851210400346204e-09,1.3852843898573608e-08
blk0_spa/readout,5,0,512,7.603819724977257e-07,3.7267329101021575e-15,21.171599474941,1.0085802415460421e-08,1.4851210400346204e-09,1.3267445111290594e-08
blk0_spa/state,6,0,8192,0.0,0.0,0.29049888793925616,0.0,0.0,0.0
blk0_spa/c_readout,6,0,512,0.0,0.0,0.12264890329446745,0.0,0.0,0.0
blk0_spa/d_path,6,0,512,7.703819751014862e-07,3.901695284022631e-15,19.925150315259224,1.047371789297813e-08,1.5046522951200902e-09,1.3993484502236427e-08
blk0_spa/readout,6,0,512,7.703819751014862e-07,3.901695284022631e-15,21.9067134232979,1.047371789297813e-08,1.5046522951200902e-09,1.3345598678877437e-08
blk0_spa/state,7,0,8192,0.0,0.0,0.3205391969286241,0.0,0.0,0.0
blk0_spa/c_readout,7,0,512,0.0,0.0,0.14386931266993047,0.0,0.0,0.0
blk0_spa/d_path,7,0,512,7.808422406441196e-07,3.9849338975768346e-15,19.947836659745874,1.2413295280566672e-08,1.525082501258046e-09,1.4133920986858976e-08
blk0_spa/readout,7,0,512,7.808422406441196e-07,3.9849338975768346e-15,22.081899293440735,1.2413295280566672e-08,1.525082501258046e-09,1.3433598014744088e-08
blk0_spa/state,8,0,8192,0.0,0.0,0.34992302031318034,0.0,0.0,0.0
blk0_spa/c_readout,8,0,512,0.0,0.0,0.17121157574811993,0.0,0.0,0.0
blk0_spa/d_path,8,0,512,8.250504262008462e-07,4.428961846610579e-15,21.99698339613629,1.6680365533261465e-08,1.6114266136735278e-09,1.41895755940544e-08
blk0_spa/readout,8,0,512,8.250504262008462e-07,4.428961846610579e-15,24.342439691128767,1.6680365533261465e-08,1.6114266136735278e-09,1.3488663427405769e-08
blk0_spa/state,9,0,8192,0.0,0.0,0.38666085310244236,0.0,0.0,0.0
blk0_spa/c_readout,9,0,512,0.0,0.0,0.16741710747454566,0.0,0.0,0.0
blk0_spa/d_path,9,0,512,8.526640460360113e-07,4.76806344384889e-15,23.60929712934275,1.8619942920850008e-08,1.6653594649140846e-09,1.4211158517482388e-08
blk0_spa/readout,9,0,512,8.526640460360113e-07,4.76806344384889e-15,25.94375685190905,1.8619942920850008e-08,1.6653594649140846e-09,1.3556718557655915e-08
blk0_spa/state,10,0,8192,0.0,0.0,0.4135354361194033,0.0,0.0,0.0
blk0_spa/c_readout,10,0,512,0.0,0.0,0.17612328503061453,0.0,0.0,0.0
blk0_spa/d_path,10,0,512,8.27462992347705e-07,4.3119090922067355e-15,21.897678985775233,1.7456196488296882e-08,1.6161386569291114e-09,1.4032522770307664e-08
blk0_spa/readout,10,0,512,8.27462992347705e-07,4.3119090922067355e-15,24.330654980320595,1.7456196488296882e-08,1.6161386569291114e-09,1.3312447188050298e-08
blk0_spa/state,11,0,8192,0.0,0.0,0.43235072711194406,0.0,0.0,0.0
blk0_spa/c_readout,11,0,512,0.0,0.0,0.22179145808596415,0.0,0.0,0.0
blk0_spa/d_path,11,0,512,8.057404521366607e-07,4.321835277266772e-15,21.330571144239713,1.280121075808438e-08,1.5737118205794154e-09,1.4234193421972717e-08
blk0_spa/readout,11,0,512,8.057404521366607e-07,4.321835277266772e-15,24.12205075066101,1.280121075808438e-08,1.5737118205794154e-09,1.338526555235734e-08
blk0_spa/state,12,0,8192,0.0,0.0,0.46169166418153496,0.0,0.0,0.0
blk0_spa/c_readout,12,0,512,0.0,0.0,0.2019982285455496,0.0,0.0,0.0
blk0_spa/d_path,12,0,512,8.077381981053122e-07,4.2690081481020234e-15,21.074249489703263,1.1249548848013546e-08,1.577613668174438e-09,1.4232704521681179e-08
blk0_spa/readout,12,0,512,8.077381981053122e-07,4.2690081481020234e-15,23.821246568630325,1.1249548848013546e-08,1.577613668174438e-09,1.3386937927318197e-08
blk0_spa/state,13,0,8192,0.0,0.0,0.5052286609940163,0.0,0.0,0.0
blk0_spa/c_readout,13,0,512,0.0,0.0,0.257567019063592,0.0,0.0,0.0
blk0_spa/d_path,13,0,512,8.168743903524955e-07,4.329416079400286e-15,21.957179155983106,1.2413295280566672e-08,1.5954577936572178e-09,1.4041916628787193e-08
blk0_spa/readout,13,0,512,8.168743903524955e-07,4.329416079400286e-15,25.210459286982694,1.2413295280566672e-08,1.5954577936572178e-09,1.3104615532669122e-08
blk0_spa/state,14,0,8192,0.0,0.0,0.5337816447269803,0.0,0.0,0.0
blk0_spa/c_readout,14,0,512,0.0,0.0,0.2633724635217058,0.0,0.0,0.0
blk0_spa/d_path,14,0,512,8.144036556245737e-07,4.1520100982854276e-15,21.057973777820074,1.1249548848013546e-08,1.5906321398917456e-09,1.4041739450330766e-08
