core,time,saturation_count,count,abs_sum,squared_error,reference_squared,max_abs_error,mae,relative_l2
blk0_spa/state,0,0,8192,0.003634182551554663,5.818787423317749e-09,0.03961702562494558,6.338684158401636e-06,4.436257997503251e-07,0.00038324395429830164
blk0_spa/c_readout,0,0,512,0.0007068139729089238,2.8500661864280385e-09,0.019524956894092203,9.179598451342086e-06,1.3804960408377418e-06,0.0003820607562155236
blk0_spa/d_path,0,0,512,0.0,0.0,19.599686747829104,0.0,0.0,0.0
blk0_spa/readout,0,0,512,0.0007068139729092641,2.850066186430834e-09,20.30128124513268,9.179598451369841e-06,1.3804960408384065e-06,1.1848564824158475e-05
blk0_spa/state,1,0,8192,0.006454912532157951,1.828921616111086e-08,0.09743740089475561,9.085790244004605e-06,7.879531899606873e-07,0.0004332461389822351
blk0_spa/c_readout,1,0,512,0.0012028597020669778,8.368666865225388e-09,0.050215021536517634,1.5462850615544088e-05,2.349335355599566e-06,0.00040823601257116646
blk0_spa/d_path,1,0,512,0.0,0.0,20.64604419461655,0.0,0.0,0.0
blk0_spa/readout,1,0,512,0.0012028597020671452,8.368666865226895e-09,21.816304306066026,1.5462850615544088e-05,2.349335355599893e-06,1.9585630128122813e-05
blk0_spa/state,2,0,8192,0.008434537860419051,3.234063558751208e-08,0.14057941562894322,1.377591969654781e-05,1.029606672414435e-06,0.0004796378069253969
blk0_spa/c_readout,2,0,512,0.0014166208136918608,1.1683141843274541e-08,0.0638805418041703,1.8344059021188326e-05,2.7668375267419156e-06,0.0004276569450208845
blk0_spa/d_path,2,0,512,0.0,0.0,19.802729859819763,0.0,0.0,0.0
blk0_spa/readout,2,0,512,0.0014166208136919686,1.1683141843276966e-08,21.128268770193564,1.8344059021180303e-05,2.766837526742126e-06,2.351515622113299e-05
blk0_spa/state,3,0,8192,0.01022068379710962,5.21456571120563e-08,0.17632759215429217,2.212849171274534e-05,1.2476420650768578e-06,0.0005438121841668107
blk0_spa/c_readout,3,0,512,0.0015281955063257218,1.5649340127766012e-08,0.07250325157022787,2.7097964545464565e-05,2.9847568482924254e-06,0.0004645893744708114
blk0_spa/d_path,3,0,512,0.0,0.0,20.64037259680481,0.0,0.0,0.0
blk0_spa/readout,3,0,512,0.0015281955063257788,1.5649340127763127e-08,22.000691634521143,2.7097964545474973e-05,2.9847568482925368e-06,2.6670419569531428e-05
blk0_spa/state,4,0,8192,0.012186519199984775,7.850639418300417e-08,0.2167880488532057,2.6561516773138203e-05,1.4876122070293915e-06,0.0006017759774581331
blk0_spa/c_readout,4,0,512,0.0017883359055069679,2.1718259900864382e-08,0.08606926529614219,2.9658907069774008e-05,3.4928435654432966e-06,0.000502329247455391
blk0_spa/d_path,4,0,512,0.0,0.0,21.354254381556466,0.0,0.0,0.0
blk0_spa/readout,4,0,512,0.0017883359055072922,2.171825990086858e-08,22.94095735994758,2.9658907069796125e-05,3.49284356544393e-06,3.076852973781807e-05
blk0_spa/state,5,0,8192,0.013861024442303246,1.0405233481835039e-07,0.25713068814187234,2.89166413261128e-05,1.6920195852420954e-06,0.0006361345134178488
blk0_spa/c_readout,5,0,512,0.0019587681598454408,2.5955165578471843e-08,0.09768221164951155,3.245324786321996e-05,3.8257190621981265e-06,0.000515470908171831
blk0_spa/d_path,5,0,512,0.0,0.0,19.42005197100493,0.0,0.0,0.0
blk0_spa/readout,5,0,512,0.001958768159845677,2.595516557848436e-08,21.171599474941,3.2453247863273305e-05,3.825719062198588e-06,3.501346303859341e-05
blk0_spa/state,6,0,8192,0.015757395177881127,1.3763697076747112e-07,0.29049888793925616,3.5528924274933664e-05,1.9235101535499423e-06,0.0006883278090094198
blk0_spa/c_readout,6,0,512,0.0023039337575894935,3.700092490215761e-08,0.12264890329446745,3.917472149327257e-05,4.4998706202919795e-06,0.00054925555190387
blk0_spa/d_path,6,0,512,0.0,0.0,19.925150315259224,0.0,0.0,0.0
blk0_spa/readout,6,0,512,0.0023039337575895724,3.700092490216244e-08,21.9067134232979,3.9174721493284714e-05,4.499870620292134e-06,4.109771504347123e-05
blk0_spa/state,7,0,8192,0.017579173812171982,1.7647319408428402e-07,0.3205391969286241,4.1653502712471046e-05,2.14589524074365e-06,0.0007419912791026781
blk0_spa/c_readout,7,0,512,0.002619740588713688,5.079187836664711e-08,0.14386931266993047,5.238115654597388e-05,5.1166808373314215e-06,0.0005941731910254242
blk0_spa/d_path,7,0,512,0.0,0.0,19.947836659745874,0.0,0.0,0.0
blk0_spa/readout,7,0,512,0.0026197405887134714,5.0791878366656664e-08,22.081899293440735,5.238115654604414e-05,5.116680837330999e-06,4.7959972407669095e-05
blk0_spa/state,8,0,8192,0.01929908422366413,2.1464668779797185e-07,0.34992302031318034,4.669644954614113e-05,2.3558452421465002e-06,0.000783205698208878
blk0_spa/c_readout,8,0,512,0.002968697224499928,6.020467843278366e-08,0.17121157574811993,4.931663330313713e-05,5.798236766601422e-06,0.0005929916231399198
blk0_spa/d_path,8,0,512,0.0,0.0,21.99698339613629,0.0,0.0,0.0
blk0_spa/readout,8,0,512,0.002968697224499677,6.020467843278735e-08,24.342439691128767,4.93166333030981e-05,5.798236766600931e-06,4.973167297766635e-05
blk0_spa/state,9,0,8192,0.02093392231540451,2.5595828491420244e-07,0.38666085310244236,4.9603269862570284e-05,2.555410438892152e-06,0.0008136160239707979
blk0_spa/c_readout,9,0,512,0.0030748866021521825,6.727213725675917e-08,0.16741710747454566,5.8901315030052484e-05,6.005637894828481e-06,0.0006338955393297085
blk0_spa/d_path,9,0,512,0.0,0.0,23.60929712934275,0.0,0.0,0.0
blk0_spa/readout,9,0,512,0.0030748866021519414,6.72721372567638e-08,25.94375685190905,5.890131503005769e-05,6.0056378948280105e-06,5.092149904403012e-05
blk0_spa/state,10,0,8192,0.022558670097737668,3.0376547692281087e-07,0.4135354361194033,5.564690753504485e-05,2.7537439084152427e-06,0.0008570631881571625
blk0_spa/c_readout,10,0,512,0.00332707386197402,7.996781811796078e-08,0.17612328503061453,6.715022865378187e-05,6.498191136668008e-06,0.0006738282810883075
blk0_spa/d_path,10,0,512,0.0,0.0,21.897678985775233,0.0,0.0,0.0
blk0_spa/readout,10,0,512,0.003327073861973964,7.996781811796701e-08,24.330654980320595,6.71502286537784e-05,6.498191136667898e-06,5.732983913901077e-05
blk0_spa/state,11,0,8192,0.023678510930800045,3.435502624737167e-07,0.43235072711194406,6.287800667104451e-05,2.8904432288574273e-06,0.0008914090634663728
blk0_spa/c_readout,11,0,512,0.0037937029474999057,1.0994168233188703e-07,0.22179145808596415,7.388290336756819e-05,7.409576069335753e-06,0.0007040585568774714
blk0_spa/d_path,11,0,512,0.0,0.0,21.330571144239713,0.0,0.0,0.0
blk0_spa/readout,11,0,512,0.0037937029475002266,1.0994168233189429e-07,24.12205075066101,7.388290336757253e-05,7.40957606933638e-06,6.751092767438781e-05
blk0_spa/state,12,0,8192,0.024853503355854706,3.902536070268111e-07,0.46169166418153496,6.980474344555048e-05,3.0338749213689826e-06,0.0009193850684701963
blk0_spa/c_readout,12,0,512,0.0036576294023137807,1.0248517703273003e-07,0.2019982285455496,7.373591492618008e-05,7.143807426394103e-06,0.0007122898362692868
blk0_spa/d_path,12,0,512,0.0,0.0,21.074249489703263,0.0,0.0,0.0
blk0_spa/readout,12,0,512,0.00365762940231393,1.0248517703273542e-07,23.821246568630325,7.373591492620957e-05,7.143807426394394e-06,6.559160916423235e-05
blk0_spa/state,13,0,8192,0.026686904641262513,4.4979380709693265e-07,0.5052286609940163,7.642923914132245e-05,3.2576787892166153e-06,0.0009435452790895429
blk0_spa/c_readout,13,0,512,0.004243975690142595,1.3303406499369018e-07,0.257567019063592,8.574087429697244e-05,8.289015019809755e-06,0.0007186812341852839
blk0_spa/d_path,13,0,512,0.0,0.0,21.957179155983106,0.0,0.0,0.0
blk0_spa/readout,13,0,512,0.004243975690142788,1.3303406499372057e-07,25.210459286982694,8.574087429702448e-05,8.289015019810133e-06,7.264254513650832e-05
blk0_spa/state,14,0,8192,0.02792178905940627,5.014382426676389e-07,0.5337816447269803,8.326152929741303e-05,3.4084215160408045e-06,0.0009692301349993523
blk0_spa/c_readout,14,0,512,0.004397642656953687,1.4474555284061514e-07,0.2633724635217058,8.661983948448889e-05,8.58914581436267e-06,0.0007413399965041412
blk0_spa/d_path,14,0,512,0.0,0.0,21.057973777820074,0.0,0.0,0.0
blk0_spa/readout,14,0,512,0.004397642656953186,1.4474555284058028e-07,24.29495056984762,8.661983948443641e-05,8.58914581436169e-06,7.718707875069485e-05
blk0_spa/state,15,0,8192,0.02943435623504377,5.591660633941922e-07,0.5774513041136159,9.293216160890898e-05,3.5930610638481166e-06,0.0009840399257242168
blk0_spa/c_readout,15,0,512,0.004703497028860147,1.605381601767619e-07,0.3100034717881833,8.009339087559648e-05,9.186517634492475e-06,0.0007196243694863977
blk0_spa/d_path,15,0,512,0.0,0.0,21.632592159001018,0.0,0.0,0.0
blk0_spa/readout,15,0,512,0.004703497028860265,1.6053816017676495e-07,25.23825537541358,8.009339087561296e-05,9.186517634492705e-06,7.975528577415843e-05
blk0_spa/state,16,0,8192,0.030570539257527472,6.14611913067238e-07,0.5896789189910624,0.00010579075691583874,3.7317552804598965e-06,0.0010209222900147304
blk0_spa/c_readout,16,0,512,0.004955472208175987,1.892399537696931e-07,0.30898721555662767,0.00011938077870149097,9.678656656593724e-06,0.0007825933645354097
blk0_spa/d_path,16,0,512,0.0,0.0,21.12639384031489,0.0,0.0,0.0
blk0_spa/readout,16,0,512,0.004955472208175922,1.8923995376970358e-07,24.543625595217996,0.00011938077870143893,9.678656656593597e-06,8.780860102531274e-05
blk0_spa/state,17,0,8192,0.031727798074247804,6.735103083013934e-07,0.6494329356305535,0.00011613552622017406,3.873022225860328e-06,0.0010183685265196289
blk0_spa/c_readout,17,0,512,0.004987547635359751,1.8981263091887467e-07,0.31934089924328135,0.00010161808196440178,9.741303975312014e-06,0.0007709661004612255
blk0_spa/d_path,17,0,512,0.0,0.0,24.108002193173498,0.0,0.0,0.0
blk0_spa/readout,17,0,512,0.0049875476353589444,1.8981263091884116e-07,27.888527969581673,0.00010161808196440525,9.741303975310438e-06,8.2499204062472e-05
blk0_spa/state,18,0,8192,0.03308893613728361,7.329918041573185e-07,0.6462629116726747,0.00012132890625184741,4.039176774570753e-06,0.00106498856050738
blk0_spa/c_readout,18,0,512,0.004971454104545423,1.9074845887916713e-07,0.28608657733132437,0.0001228192995798615,9.709871297940279e-06,0.0008165481100272185
blk0_spa/d_path,18,0,512,0.0,0.0,21.949926428991038,0.0,0.0,0.0
blk0_spa/readout,18,0,512,0.004971454104545388,1.9074845887916165e-07,25.336518623074696,0.00012281929957980164,9.709871297940211e-06,8.676749287768961e-05
blk0_spa/state,19,0,8192,0.03404903178153798,7.951848027392542e-07,0.6406287020680456,0.00012530861865449935,4.156375949894773e-06,0.0011141170985592976
blk0_spa/c_readout,19,0,512,0.005136879151734586,2.0880239671618518e-07,0.2897533129092207,0.00011672461749042025,1.0032967093231614e-05,0.0008488941379874739
blk0_spa/d_path,19,0,512,0.0,0.0,21.24652848131379,0.0,0.0,0.0
blk0_spa/readout,19,0,512,0.005136879151734848,2.088023967161929e-07,24.572830453955294,0.00011672461749046015,1.0032967093232125e-05,9.218073096156297e-05
blk0_spa/state,20,0,8192,0.03539495064288271,8.686995285477835e-07,0.6598641542295138,0.00012951455858907675,4.320672685898768e-06,0.0011473806580248314
blk0_spa/c_readout,20,0,512,0.005614633135498556,2.5206670314835847e-07,0.314650595926383,0.00013124562491552416,1.0966080342770617e-05,0.0008950420950900745
blk0_spa/d_path,20,0,512,0.0,0.0,21.14923487596934,0.0,0.0,0.0
blk0_spa/readout,20,0,512,0.005614633135498781,2.5206670314833263e-07,24.82179780684672,0.00013124562491551028,1.0966080342771057e-05,0.0001007722890652197
blk0_spa/state,21,0,8192,0.03652680156871494,9.432205942215509e-07,0.6717361301048013,0.00013369118482064145,4.458838082118523e-06,0.0011849698032376547
blk0_spa/c_readout,21,0,512,0.0059877162223361275,2.871296394200759e-07,0.3398068147967055,0.000126263318889739,1.1694758246750249e-05,0.0009192274199654513
blk0_spa/d_path,21,0,512,0.0,0.0,20.035883863837668,0.0,0.0,0.0
blk0_spa/readout,21,0,512,0.005987716222335891,2.871296394200739e-07,23.839916589726787,0.00012626331888976328,1.1694758246749787e-05,0.00010974548117527804
blk0_spa/state,22,0,8192,0.03779088794143438,1.0199043777205867e-06,0.6916527978269743,0.00013691519430700065,4.613145500663376e-06,0.0012143270208645049
blk0_spa/c_readout,22,0,512,0.006353874301896245,3.299462240323437e-07,0.3645232618390574,0.0001554729301584349,1.2409910745891103e-05,0.0009513908217794326
blk0_spa/d_path,22,0,512,0.0,0.0,20.40127198967712,0.0,0.0,0.0
blk0_spa/readout,22,0,512,0.006353874301896378,3.2994622403234906e-07,24.396726531786783,0.00015547293015849561,1.2409910745891364e-05,0.00011629359663263191
blk0_spa/state,23,0,8192,0.03871479551527582,1.0942077696979608e-06,0.70192721952785,0.00013917610932213595,4.725927186923318e-06,0.0012485440092561814
blk0_spa/c_readout,23,0,512,0.0062665259643751164,3.15278637629085e-07,0.3565539959171927,0.00013682556678766555,1.223930852417015e-05,0.0009403393681507797
blk0_spa/d_path,23,0,512,0.0,0.0,20.313104474205698,0.0,0.0,0.0
blk0_spa/readout,23,0,512,0.006266525964375377,3.1527863762907314e-07,24.14438140229158,0.00013682556678762392,1.2239308524170658e-05,0.00011427184281945392
blk0_spa/state,24,0,8192,0.039810107554194875,1.1618421590503067e-06,0.7008816306371319,0.0001440618242881447,4.859632269799179e-06,0.0012875118261130771
blk0_spa/c_readout,24,0,512,0.00619014124329483,3.129209238396267e-07,0.3462962144145171,0.00014135319546700227,1.2090119615810215e-05,0.0009505904127281044
blk0_spa/d_path,24,0,512,0.0,0.0,21.60681212731344,0.0,0.0,0.0
blk0_spa/readout,24,0,512,0.00619014124329501,3.1292092383962187e-07,25.30796190485645,0.00014135319546698666,1.2090119615810566e-05,0.00011119588503440349
blk0_spa/state,25,0,8192,0.040766029530297024,1.2351984403805026e-06,0.7218864381697945,0.0001510157859392694,4.976321964147586e-06,0.001308078856390424
blk0_spa/c_readout,25,0,512,0.006454656979494206,3.446161879565503e-07,0.35283129323602913,0.00015120181514309376,1.260675191307462e-05,0.0009882897446721604
blk0_spa/d_path,25,0,512,0.0,0.0,22.683761818920356,0.0,0.0,0.0
blk0_spa/readout,25,0,512,0.006454656979493774,3.446161879565194e-07,26.546135229234814,0.00015120181514310937,1.2606751913073777e-05,0.00011393763113271655
blk0_spa/state,26,0,8192,0.04171768556422476,1.3050162396586646e-06,0.7344383722570059,0.00015781307933886244,5.0924909136016555e-06,0.0013330003957161107
blk0_spa/c_readout,26,0,512,0.006598407855367567,3.665304124551263e-07,0.3566802235325559,0.0001566093929441818,1.288751534251478e-05,0.0010137141127686553
blk0_spa/d_path,26,0,512,0.0,0.0,21.19342170430437,0.0,0.0,0.0
blk0_spa/readout,26,0,512,0.006598407855367701,3.665304124551162e-07,25.139973714326835,0.00015660939294420695,1.288751534251504e-05,0.00012074595705513787
blk0_spa/state,27,0,8192,0.04268979554598357,1.3827387397898552e-06,0.7574564737691847,0.0001648371256255483,5.211156682859323e-06,0.0013511116054363045
blk0_spa/c_readout,27,0,512,0.007194990274045603,4.539546037945555e-07,0.38792873153341767,0.00017332446822649738,1.4052715378995319e-05,0.001081758307881287
blk0_spa/d_path,27,0,512,0.0,0.0,21.663751502538176,0.0,0.0,0.0
blk0_spa/readout,27,0,512,0.007194990274045591,4.5395460379455304e-07,25.975994704541385,0.00017332446822648784,1.4052715378995295e-05,0.00013219654926849357
blk0_spa/state,28,0,8192,0.043842576037280076,1.464162475247914e-06,0.776859236979174,0.00017054531947061774,5.3518769576757905e-06,0.0013728512046473791
