core,time,saturation_count,count,abs_sum,squared_error,reference_squared,max_abs_error,mae,relative_l2
blk0_spa/state,0,0,8192,0.0,0.0,0.03961702562494558,0.0,0.0,0.0
blk0_spa/c_readout,0,0,512,0.0,0.0,0.019524956894092203,0.0,0.0,0.0
blk0_spa/d_path,0,0,512,0.0,0.0,19.599686747829104,0.0,0.0,0.0
blk0_spa/readout,0,0,512,0.0,0.0,20.30128124513268,0.0,0.0,0.0
blk0_spa/state,1,0,8192,0.0,0.0,0.09743740089475561,0.0,0.0,0.0
blk0_spa/c_readout,1,0,512,0.0,0.0,0.050215021536517634,0.0,0.0,0.0
blk0_spa/d_path,1,0,512,0.0,0.0,20.64604419461655,0.0,0.0,0.0
blk0_spa/readout,1,0,512,0.0,0.0,21.816304306066026,0.0,0.0,0.0
blk0_spa/state,2,0,8192,0.0,0.0,0.14057941562894322,0.0,0.0,0.0
blk0_spa/c_readout,2,0,512,0.0,0.0,0.0638805418041703,0.0,0.0,0.0
blk0_spa/d_path,2,0,512,0.0,0.0,19.802729859819763,0.0,0.0,0.0
blk0_spa/readout,2,0,512,0.0,0.0,21.128268770193564,0.0,0.0,0.0
blk0_spa/state,3,0,8192,0.0,0.0,0.17632759215429217,0.0,0.0,0.0
blk0_spa/c_readout,3,0,512,0.0,0.0,0.07250325157022787,0.0,0.0,0.0
blk0_spa/d_path,3,0,512,0.0,0.0,20.64037259680481,0.0,0.0,0.0
blk0_spa/readout,3,0,512,0.0,0.0,22.000691634521143,0.0,0.0,0.0
blk0_spa/state,4,0,8192,0.0,0.0,0.2167880488532057,0.0,0.0,0.0
blk0_spa/c_readout,4,0,512,0.0,0.0,0.08606926529614219,0.0,0.0,0.0
blk0_spa/d_path,4,0,512,0.0,0.0,21.354254381556466,0.0,0.0,0.0
blk0_spa/readout,4,0,512,0.0,0.0,22.94095735994758,0.0,0.0,0.0
blk0_spa/state,5,0,8192,0.0,0.0,0.25713068814187234,0.0,0.0,0.0
blk0_spa/c_readout,5,0,512,0.0,0.0,0.09768221164951155,0.0,0.0,0.0
blk0_spa/d_path,5,0,512,0.0,0.0,19.42005197100493,0.0,0.0,0.0
blk0_spa/readout,5,0,512,0.0,0.0,21.171599474941,0.0,0.0,0.0
blk0_spa/state,6,0,8192,0.0,0.0,0.29049888793925616,0.0,0.0,0.0
blk0_spa/c_readout,6,0,512,0.0,0.0,0.12264890329446745,0.0,0.0,0.0
blk0_spa/d_path,6,0,512,0.0,0.0,19.925150315259224,0.0,0.0,0.0
blk0_spa/readout,6,0,512,0.0,0.0,21.9067134232979,0.0,0.0,0.0
blk0_spa/state,7,0,8192,0.0,0.0,0.3205391969286241,0.0,0.0,0.0
blk0_spa/c_readout,7,0,512,0.0,0.0,0.14386931266993047,0.0,0.0,0.0
blk0_spa/d_path,7,0,512,0.0,0.0,19.947836659745874,0.0,0.0,0.0
blk0_spa/readout,7,0,512,0.0,0.0,22.081899293440735,0.0,0.0,0.0
blk0_spa/state,8,0,8192,0.0,0.0,0.34992302031318034,0.0,0.0,0.0
blk0_spa/c_readout,8,0,512,0.0,0.0,0.17121157574811993,0.0,0.0,0.0
blk0_spa/d_path,8,0,512,0.0,0.0,21.99698339613629,0.0,0.0,0.0
blk0_spa/readout,8,0,512,0.0,0.0,24.342439691128767,0.0,0.0,0.0
blk0_spa/state,9,0,8192,0.0,0.0,0.38666085310244236,0.0,0.0,0.0
blk0_spa/c_readout,9,0,512,0.0,0.0,0.16741710747454566,0.0,0.0,0.0
blk0_spa/d_path,9,0,512,0.0,0.0,23.60929712934275,0.0,0.0,0.0
blk0_spa/readout,9,0,512,0.0,0.0,25.94375685190905,0.0,0.0,0.0
blk0_spa/state,10,0,8192,0.0,0.0,0.4135354361194033,0.0,0.0,0.0
blk0_spa/c_readout,10,0,512,0.0,0.0,0.17612328503061453,0.0,0.0,0.0
blk0_spa/d_path,10,0,512,0.0,0.0,21.897678985775233,0.0,0.0,0.0
blk0_spa/readout,10,0,512,0.0,0.0,24.330654980320595,0.0,0.0,0.0
blk0_spa/state,11,0,8192,0.0,0.0,0.43235072711194406,0.0,0.0,0.0
blk0_spa/c_readout,11,0,512,0.0,0.0,0.22179145808596415,0.0,0.0,0.0
blk0_spa/d_path,11,0,512,0.0,0.0,21.330571144239713,0.0,0.0,0.0
blk0_spa/readout,11,0,512,0.0,0.0,24.12205075066101,0.0,0.0,0.0
blk0_spa/state,12,0,8192,0.0,0.0,0.46169166418153496,0.0,0.0,0.0
blk0_spa/c_readout,12,0,512,0.0,0.0,0.2019982285455496,0.0,0.0,0.0
blk0_spa/d_path,12,0,512,0.0,0.0,21.074249489703263,0.0,0.0,0.0
blk0_spa/readout,12,0,512,0.0,0.0,23.821246568630325,0.0,0.0,0.0
blk0_spa/state,13,0,8192,0.0,0.0,0.5052286609940163,0.0,0.0,0.0
blk0_spa/c_readout,13,0,512,0.0,0.0,0.257567019063592,0.0,0.0,0.0
blk0_spa/d_path,13,0,512,0.0,0.0,21.957179155983106,0.0,0.0,0.0
blk0_spa/readout,13,0,512,0.0,0.0,25.210459286982694,0.0,0.0,0.0
blk0_spa/state,14,0,8192,0.0,0.0,0.5337816447269803,0.0,0.0,0.0
blk0_spa/c_readout,14,0,512,0.0,0.0,0.2633724635217058,0.0,0.0,0.0
blk0_spa/d_path,14,0,512,0.0,0.0,21.057973777820074,0.0,0.0,0.0
blk0_spa/readout,14,0,512,0.0,0.0,24.29495056984762,0.0,0.0,0.0
blk0_spa/state,15,0,8192,0.0,0.0,0.5774513041136159,0.0,0.0,0.0
blk0_spa/c_readout,15,0,512,0.0,0.0,0.3100034717881833,0.0,0.0,0.0
blk0_spa/d_path,15,0,512,0.0,0.0,21.632592159001018,0.0,0.0,0.0
blk0_spa/readout,15,0,512,0.0,0.0,25.23825537541358,0.0,0.0,0.0
blk0_spa/state,16,0,8192,0.0,0.0,0.5896789189910624,0.0,0.0,0.0
blk0_spa/c_readout,16,0,512,0.0,0.0,0.30898721555662767,0.0,0.0,0.0
blk0_spa/d_path,16,0,512,0.0,0.0,21.12639384031489,0.0,0.0,0.0
blk0_spa/readout,16,0,512,0.0,0.0,24.543625595217996,0.0,0.0,0.0
blk0_spa/state,17,0,8192,0.0,0.0,0.6494329356305535,0.0,0.0,0.0
blk0_spa/c_readout,17,0,512,0.0,0.0,0.31934089924328135,0.0,0.0,0.0
blk0_spa/d_path,17,0,512,0.0,0.0,24.108002193173498,0.0,0.0,0.0
blk0_spa/readout,17,0,512,0.0,0.0,27.888527969581673,0.0,0.0,0.0
blk0_spa/state,18,0,8192,0.0,0.0,0.6462629116726747,0.0,0.0,0.0
blk0_spa/c_readout,18,0,512,0.0,0.0,0.28608657733132437,0.0,0.0,0.0
blk0_spa/d_path,18,0,512,0.0,0.0,21.949926428991038,0.0,0.0,0.0
blk0_spa/readout,18,0,512,0.0,0.0,25.336518623074696,0.0,0.0,0.0
blk0_spa/state,19,0,8192,0.0,0.0,0.6406287020680456,0.0,0.0,0.0
blk0_spa/c_readout,19,0,512,0.0,0.0,0.2897533129092207,0.0,0.0,0.0
blk0_spa/d_path,19,0,512,0.0,0.0,21.24652848131379,0.0,0.0,0.0
blk0_spa/readout,19,0,512,0.0,0.0,24.572830453955294,0.0,0.0,0.0
blk0_spa/state,20,0,8192,0.0,0.0,0.6598641542295138,0.0,0.0,0.0
blk0_spa/c_readout,20,0,512,0.0,0.0,0.314650595926383,0.0,0.0,0.0
blk0_spa/d_path,20,0,512,0.0,0.0,21.14923487596934,0.0,0.0,0.0
