core,block,branch,A_mode,d_inner,d_state,stored_A_parameter_count,lambda_min,lambda_max,lambda_mean,mean_statewise_channel_cv,max_statewise_channel_cv,row_shared_relative_fro_error_lambda,row_shared_relative_fro_error_A_log,best_rank1_energy_ratio_lambda,dataset,seed
block0_spa,0,spa,shared,64,16,16,0.9179018728471439,15.661678808547851,8.144087542070439,6.951460769203522e-16,1.6690959977044021e-15,7.440439225252767e-16,0.0,1.0,UP,0
block0_spe,0,spe,shared,16,16,16,1.0046125784494515,16.18441586673063,8.413151436239964,1.5409587114683712e-16,4.514943915383079e-16,1.6936460410195514e-16,0.0,1.0,UP,0
block1_spa,1,spa,shared,64,16,16,0.9452551264332218,16.447669131544266,8.433233211106261,8.733101734942601e-16,1.4863327141781023e-15,1.0223840549049639e-15,0.0,1.0,UP,0
block1_spe,1,spe,shared,16,16,16,0.9801523589010203,15.894260524456307,8.743183384019748,2.2153062847929835e-16,3.9596802809622823e-16,2.7731105896053255e-16,0.0,1.0,UP,0
block2_spa,2,spa,shared,64,16,16,0.945121000695164,17.06370002428265,8.46881379478059,7.422084756795839e-16,1.5394915775699341e-15,8.104724825066082e-16,0.0,1.0,UP,0
block2_spe,2,spe,shared,16,16,16,1.0056416795805376,15.688957259861292,8.225258679834049,1.6308099066203463e-16,3.912739726617573e-16,1.7554637341893835e-16,0.0,1.0,UP,0
block0_spa,0,spa,shared,64,16,16,0.9300467688120311,16.075709688350294,8.282677113244604,8.448006107794299e-16,1.6172717101232436e-15,1.1256977467595041e-15,0.0,1.0,UP,1
block0_spe,0,spe,shared,16,16,16,1.0237623847613184,16.364069591044103,8.529558358347806,1.8837037563620673e-16,4.33781526319311e-16,2.773037187388854e-16,0.0,1.0,UP,1
block1_spa,1,spa,shared,64,16,16,0.953925943096076,15.606464103137279,8.25551030261352,7.172357040559447e-16,1.4796842359417664e-15,9.610378106718588e-16,0.0,1.0,UP,1
block1_spe,1,spe,shared,16,16,16,0.9829028968051603,15.825475237461337,8.315674342035141,2.5646749175192006e-16,4.560661498434449e-16,2.49526835285542e-16,0.0,1.0,UP,1
block2_spa,2,spa,shared,64,16,16,1.0054015062866357,15.028835353845247,8.197925244997672,8.973073754819365e-16,1.4708840301513698e-15,8.832267320553112e-16,0.0,1.0,UP,1
block2_spe,2,spe,shared,16,16,16,1.0061743000769894,16.336380701193143,8.551369747165884,1.6603989440727546e-16,4.311613661024229e-16,1.96060875015053e-16,0.0,1.0,UP,1
block0_spa,0,spa,shared,64,16,16,0.9762184847093885,15.454747398919004,8.090475539036248,9.47872818577564e-16,1.7346556635019465e-15,1.1584204298427738e-15,0.0,1.0,UP,2
block0_spe,0,spe,shared,16,16,16,0.978991575434784,15.049197865069376,8.430230903200027,1.8706229317848473e-16,4.793872420345134e-16,1.6499017463645576e-16,0.0,1.0,UP,2
block1_spa,1,spa,shared,64,16,16,0.9784526930906067,16.99467073756593,8.182362141481086,8.323619810537891e-16,1.3616065845166163e-15,6.777257116774925e-16,0.0,1.0,UP,2
block1_spe,1,spe,shared,16,16,16,0.9875437608195541,14.354444836910181,7.779528865585512,2.315559975669366e-16,4.0491893220710006e-16,2.719894454855206e-16,0.0,1.0,UP,2
block2_spa,2,spa,shared,64,16,16,0.9860726121100425,15.771036654265753,8.245978864569103,8.595054290332743e-16,1.6356463872564277e-15,1.058106495775941e-15,0.0,1.0,UP,2
block2_spe,2,spe,shared,16,16,16,0.9934330432476187,15.877932438580137,8.433050083980678,1.5632129390364314e-16,3.4385824909569206e-16,1.957890733131353e-16,0.0,1.0,UP,2
block0_spa,0,spa,shared,64,16,16,0.9439760875635609,15.829180842983613,8.241086944359896,8.662830873094096e-16,1.369319846494922e-15,9.311386899425209e-16,0.0,1.0,UP,3
