experiment,source,sha256,bytes,dataset,seed,eval_batch_size,model_config_slug,test_OA,qat_test_OA
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed0/result.json,1dc3dbe71eb2e6ad1a72417ba086d0f56dca381db9e53c6aceff1f9f3ee82674,9584,UP,0,,,0.9769452449567724,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed1/result.json,d1fdf096129d0e37d6141e16847ac5ab26e847d2a27f13af4681f3802ff254a1,9749,UP,1,,,0.9674763277068753,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed2/result.json,b2948ed60164a5943e0232a6ca241654eea29e2a3968d9a133ab0a97fa40be65,10123,UP,2,,,0.9505146150679292,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed3/result.json,57747e86564d6beccfd2f06d90968fe6e9bd129c581e32b174b5444b634d547d,9754,UP,3,,,0.962041992589543,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed4/result.json,9fac2b7b61154abfd699c5ff160b8fc15d845e33208ba121cc0aa946f4dd15ad,9406,UP,4,,,0.9342116097159325,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed5/result.json,0e69c007fdafe3e63ee7cc16cba7d1684cca506e63b272dd2026518f184906e7,9580,UP,5,,,0.9326471799094277,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed6/result.json,f2a37a4408066edce2bd89502a623aa58bf036587a99f21b39cf589ba3b000f8,9421,UP,6,,,0.9574310415808975,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed7/result.json,04c108e04af81710aea596a638c39d4e538ca3de7f1e37402d4070c644e790d0,9761,UP,7,,,0.9356113627006999,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed8/result.json,b1315570f4b23edb453723e6e5c8637e73b8cdacd9fddc5d68a96c61da3cb903,9565,UP,8,,,0.9629477151090984,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-mean_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed9/result.json,e5fae6eca205894248e5e82e6d4b0e27b1cc3c242bbe06b27b9306617b315999,9798,UP,9,,,0.9347056401811445,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed0/result.json,7aa6ff9645ccd7f9f65746d4a8e989567922e8011fe2c32959eea5d34c28aee9,9767,UP,0,,,0.9785920131741458,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed1/result.json,e783d096e9b2e946346431598d7b805cf68a1ec1c7b8050a99f02f21d8751a11,10006,UP,1,,,0.939069575957184,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed2/result.json,893b9c1abb223044b4207f245a6125d1ca148d65094130f09f56c6577c5a8e2d,9618,UP,2,,,0.9439275421984356,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed3/result.json,a250429dffbe81f632387f0a61cff1767b44d3c54ad211258a87f079a70d6dce,9211,UP,3,,,0.9501852614244545,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed4/result.json,59b62b350c3853f468b8bfa4453482999d0ed0fffc27d9b99f3095b43cb402ba,9213,UP,4,,,0.9398106216550021,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed5/result.json,7329a35619a75380b3797a0caed820c232aea11564e8c08014183668927bfaa9,9257,UP,5,,,0.9489501852614245,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed6/result.json,ad1c824c427c9ee29b29c61e31d2bd5078a722f2d4a28e6056fcab6c43436974,9266,UP,6,,,0.9678880197612186,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed7/result.json,c1869193c1ef41113a7410a5cea743922f7402831790acc9003f350826c670ab,9796,UP,7,,,0.9576780568135035,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed8/result.json,ade2ba450089f2dfd275970aa98004355cb1f27cb059bbf4bd76d5abe5bc4b33,9947,UP,8,,,0.9558666117743928,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-softmax_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed9/result.json,96bdb007f261db3bfee007b959749f3cc40b7d0627c6f8bf05b22bfef2afc871,9774,UP,9,,,0.9612186084808563,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed0/result.json,625f9cdda4bef0fe6f6aaa1dac458f46a4ff112c951edeec882c24a27d26b3be,10330,UP,0,,,0.9278715520790449,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed1/result.json,2112fff322f7067bee8005e28aeca7b43dab856c3e057206318d91b5e5f1343b,10656,UP,1,,,0.8887608069164266,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed2/result.json,57138ff8ca9564e5872cc3bf7e5d1b890ef89354937f275d1e63dc5aa8aed8ac,10276,UP,2,,,0.9363524083985179,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed3/result.json,0178008fdc1213554d5338516f4ec4c251585f0e29f85ff049e751dbf0662b1a,9589,UP,3,,,0.938822560724578,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed4/result.json,b1af70d4cf37d23d93ad81bc0c41dfc9357b33dc961bd69714f9223e35ca05fd,10144,UP,4,,,0.9107451626183615,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed5/result.json,4a7ee18f3f272dd7629ab24ad576ebfe34c5677ece67a7a0edf1e3fb1ee88e4d,10319,UP,5,,,0.940057636887608,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed6/result.json,0a63eedc4b448731092f0e4ca51178d40a057e4dd0bf73cab2c10fd20b5615d4,9981,UP,6,,,0.9350349938246192,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed7/result.json,4481add8cef9b84552282b7c10d0b91c52fd3e9a10995abed7ed18860ad9c3e1,10486,UP,7,,,0.8704816797035817,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed8/result.json,09160249a745a4791a3e16fec4a7f3c9c672e1b0f1057f84ddb73fc8238d08d5,10323,UP,8,,,0.8883491148620831,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk0_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed9/result.json,8329acdd89eb01627623d4b3000b96b20722b396f6662cf9e43356ddf2ade145,10831,UP,9,,,0.9386578839028407,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed0/result.json,228d784c59c0819a02776c9284b6709490c5a415da032209677542a0ebdf7e85,9933,UP,0,,,0.9583367641004529,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed1/result.json,6166f44a4059218b90819417183a41335095e4790d55fc794b93e7fba61b1476,9593,UP,1,,,0.954549197200494,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed2/result.json,1f519356606b79c387fdba519024102da8958b202197099987420148c7af06d1,9943,UP,2,,,0.9251543845203788,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed3/result.json,808fd784041ba8c9514d20f09d4868af1e77a1f4f66cc4bca84a767d668c25e7,10146,UP,3,,,0.9643474680938657,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed4/result.json,15788ca3c3c2e6755dacd17057c51c605a155e6b2b433a3fa786e90bbdece96e,9586,UP,4,,,0.9559489501852614,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed5/result.json,c1c2129cedf45865fd548adc848e2def2d0ca92cea52665bb850fb818a836655,9593,UP,5,,,0.9212844792095513,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed6/result.json,efb7f49f48e56996fd72e62220fcfe35f8612439db3f9d892d0475cf800a3c81,10098,UP,6,,,0.9204610951008646,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed7/result.json,8daab4ea2b5b6be261cd400e74749a35d79206040198add4dc414842c3941b88,10280,UP,7,,,0.9244956772334294,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed8/result.json,94dc43cab209646e2431bd1657a92846fe155324bab3214d803b1afc13828838,9454,UP,8,,,0.945821325648415,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk1_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed9/result.json,0ad9e0c7ddf030397258f11749e4691848a46c4020600bfb796d2a0e4730f493,9747,UP,9,,,0.9494442157266365,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed0/result.json,259ca2d05c06c6c6ce82714681ee71280386900c086007bbaf7f03264d408fe3,9935,UP,0,,,0.9424454508027995,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed1/result.json,f3f2ad7dcccb5969edbd828c2b800ddc0d4c4b249d6c8c74dabc1b8f5cbb0e32,10147,UP,1,,,0.9462330177027584,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed2/result.json,2952c8ece2ba7bb72a7e3d4b99e47f8e2d51de3f134d053f82780b6e9c54ba7d,10320,UP,2,,,0.929353643474681,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head128_tok4_state16/run_seed3/result.json,808692c2aa4dd87a9f4de6f09d3959f6f6c61ad941d439081c85b2cf66444914,10103,UP,3,,,0.930341704405105,
