monotonic_s,wall_time_s,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,gpu_util_percent,relative_s
845060.151931311,1790128307.8102896,71.041,43,2520,10501,15,-0.0014281889889389277
845060.252365187,1790128307.9107416,71.041,43,2520,10501,15,0.09900568705052137
845060.352893542,1790128308.0114074,71.041,43,2520,10501,15,0.19953404203988612
845060.4534038585,1790128308.1117587,71.14,43,2520,10501,15,0.3000443584751338
845060.554083958,1790128308.2124605,71.14,43,2520,10501,15,0.4007244580425322
845060.654397679,1790128308.3127496,71.14,43,2520,10501,15,0.5010381790343672
845060.754591869,1790128308.4129438,71.14,43,2520,10501,15,0.6012323689647019
845060.8547354555,1790128308.5130858,71.14,43,2520,10501,15,0.7013759554829448
845060.9548604995,1790128308.6132085,70.931,43,2520,10501,20,0.8015009994851425
845061.0549975045,1790128308.7133524,70.931,43,2520,10501,20,0.901638004463166
845061.1551342235,1790128308.8134844,70.931,43,2520,10501,20,1.001774723525159
845061.255512098,1790128308.9139273,70.931,43,2520,10501,20,1.1021525979740545
845061.3560100484,1790128309.0143673,70.931,43,2520,10501,20,1.2026505484245718
845061.4562734875,1790128309.1146343,70.681,43,2520,10501,20,1.302913987543434
845061.556584598,1790128309.2149386,70.681,43,2520,10501,20,1.4032250980380923
845061.6569362821,1790128309.3153563,70.681,43,2520,10501,20,1.503576782066375
845061.757214169,1790128309.415565,70.681,43,2520,10501,20,1.6038546690251678
845061.8573302075,1790128309.5156786,70.681,43,2520,10501,20,1.703970707487315
845061.9574699521,1790128309.6158245,71.081,43,2520,10501,22,1.804110452067107
845062.0576309585,1790128309.7159798,71.081,43,2520,10501,22,1.9042714585084468
845062.1579959365,1790128309.816369,71.081,43,2520,10501,22,2.0046364364679903
845062.258253683,1790128309.9166052,71.081,43,2520,10501,22,2.1048941829940304
845062.3584014331,1790128310.0167608,71.081,43,2520,10501,22,2.2050419331062585
845062.4587761415,1790128310.1171262,70.913,43,2520,10501,22,2.3054166415240616
845062.5589735154,1790128310.2173796,70.913,43,2520,10501,22,2.405614015413448
845062.659212357,1790128310.3175628,70.913,43,2520,10501,22,2.5058528570225462
845062.7593244836,1790128310.4176729,70.913,43,2520,10501,22,2.605964983580634
845062.8594779545,1790128310.5178263,70.913,43,2520,10501,22,2.706118454458192
