monotonic_s,wall_time_s,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,gpu_util_percent,relative_s
844798.6822231825,1790128046.3405857,54.938,33,2520,10501,0,-0.0005747504765167832
844798.7829002785,1790128046.441278,54.938,33,2520,10501,0,0.10010234545916319
844798.8831581969,1790128046.5415072,54.938,33,2520,10501,0,0.20036026393063366
844798.98327839,1790128046.6416261,54.522,34,2520,10501,0,0.30048045702278614
844799.083385721,1790128046.7417328,54.522,34,2520,10501,0,0.40058778796810657
844799.1834881436,1790128046.8418355,54.522,34,2520,10501,0,0.5006902106106281
844799.2836844265,1790128046.9420624,54.522,34,2520,10501,0,0.6008864934556186
844799.3839068165,1790128047.0422556,54.522,34,2520,10501,0,0.7011088834842667
844799.4840278334,1790128047.142376,54.522,34,2520,10501,0,0.8012299004476517
844799.584137537,1790128047.2424848,54.522,34,2520,10501,0,0.9013396040536463
844799.684237645,1790128047.3425844,54.522,34,2520,10501,0,1.001439712010324
844799.78433684,1790128047.4426837,54.522,34,2520,10501,0,1.101538907038048
844799.8844401995,1790128047.542789,54.522,34,2520,10501,0,1.2016422664746642
844799.9845481375,1790128047.6428955,54.471,34,2520,10501,0,1.301750204525888
844800.0846505549,1790128047.7429974,54.471,34,2520,10501,0,1.40185262192972
844800.184752949,1790128047.8431,54.471,34,2520,10501,0,1.5019550160504878
844800.2848533995,1790128047.9432003,54.471,34,2520,10501,0,1.6020554665010422
844800.3849504385,1790128048.043297,54.471,34,2520,10501,0,1.702152505517006
844800.4851108245,1790128048.1434867,54.471,34,2520,10501,0,1.8023128914646804
844800.585431761,1790128048.2438054,54.471,34,2520,10501,0,1.9026338279945776
844800.685640766,1790128048.3439891,54.471,34,2520,10501,0,2.0028428330551833
844800.785755538,1790128048.4441028,54.471,34,2520,10501,0,2.1029576050350443
844800.8858594275,1790128048.5442066,54.471,34,2520,10501,0,2.203061494510621
844800.985967624,1790128048.6443157,54.422,34,2520,10501,0,2.303169691003859
844801.0862610255,1790128048.7446108,54.422,34,2520,10501,0,2.4034630925161764
844801.1863755134,1790128048.8447227,54.422,34,2520,10501,0,2.503577580442652
844801.2864820465,1790128048.944829,54.422,34,2520,10501,0,2.6036841134773567
844801.3865827154,1790128049.0449293,54.422,34,2520,10501,0,2.7037847824394703
844801.486679092,1790128049.1450255,54.422,34,2520,10501,0,2.8038811590522528
844801.5867809155,1790128049.2451277,54.422,34,2520,10501,0,2.903982982505113
844801.6868824186,1790128049.3452296,54.422,34,2520,10501,0,3.0040844855830073
844801.7869862765,1790128049.445333,54.422,34,2520,10501,0,3.1041883435100317
844801.887123995,1790128049.545471,54.422,34,2520,10501,0,3.2043260619975626
844801.987224626,1790128049.6455715,54.405,34,2520,10501,0,3.3044266930082813
844802.0873274795,1790128049.7456746,54.405,34,2520,10501,0,3.404529546503909
844802.187425077,1790128049.8457718,54.405,34,2520,10501,0,3.5046271439641714
844802.2875509085,1790128049.945909,54.405,34,2520,10501,0,3.6047529755160213
844802.3876943605,1790128050.0460427,54.405,34,2520,10501,0,3.704896427458152
844802.4878716611,1790128050.146242,54.405,34,2520,10501,0,3.805073728086427
844802.5880798765,1790128050.2464335,54.405,34,2520,10501,0,3.9052819435019046
844802.6882220111,1790128050.3465698,54.405,34,2520,10501,0,4.005424078088254
844802.788332753,1790128050.446681,54.405,34,2520,10501,0,4.105534820002504
844802.888462374,1790128050.5468183,54.405,34,2520,10501,0,4.205664440989494
844802.9886028289,1790128050.646956,54.507,34,2520,10501,0,4.30580489593558
844803.0887345241,1790128050.7470877,54.507,34,2520,10501,0,4.40593659109436
844803.188863416,1790128050.8472137,54.507,34,2520,10501,0,4.50606548297219
844803.288978714,1790128050.9473274,54.507,34,2520,10501,0,4.60618078103289
844803.3890995105,1790128051.0474484,54.507,34,2520,10501,0,4.706301577505656
844803.4891968945,1790128051.1475456,54.593,34,2520,10501,0,4.806398961460218
844803.5892946695,1790128051.2476416,54.593,34,2520,10501,0,4.906496736453846
844803.6881134924,1790128051.3464909,54.593,34,2520,10501,0,5.005315559450537
