monotonic_s,wall_time_s,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,gpu_util_percent,relative_s
845331.1838284631,1790128578.8421872,59.045,43,2520,10501,0,-0.0003673939500004053
845331.2842972475,1790128578.9426706,59.045,43,2520,10501,0,0.10010139050427824
845331.3845170315,1790128579.0428715,59.045,43,2520,10501,0,0.2003211744595319
845331.484633791,1790128579.1429808,56.39,43,2520,10501,0,0.3004379339981824
845331.5847376916,1790128579.243084,56.39,43,2520,10501,0,0.40054183453321457
845331.684837525,1790128579.3431842,56.39,43,2520,10501,0,0.5006416679825634
845331.784960506,1790128579.4433136,56.39,43,2520,10501,0,0.600764648988843
845331.885143975,1790128579.5434942,56.39,43,2520,10501,0,0.70094811799936
845331.985290335,1790128579.6436508,56.39,43,2520,10501,0,0.8010944779962301
845332.085663083,1790128579.7440734,56.39,43,2520,10501,0,0.9014672259800136
845332.186043459,1790128579.844394,56.39,43,2520,10501,0,1.0018476019613445
845332.2862610555,1790128579.9446306,56.39,43,2520,10501,0,1.102065198472701
845332.3864210504,1790128580.0447686,56.39,43,2520,10501,0,1.2022251933813095
845332.4865269526,1790128580.1448731,56.505,43,2520,10501,0,1.3023310955613852
845332.5866234971,1790128580.2449706,56.505,43,2520,10501,0,1.4024276400450617
845332.6867340935,1790128580.3450842,56.505,43,2520,10501,0,1.5025382364401594
845332.7868653235,1790128580.445216,56.505,43,2520,10501,0,1.6026694665197283
845332.8870714805,1790128580.5454347,56.505,43,2520,10501,0,1.7028756234794855
845332.9872789155,1790128580.6456437,56.505,43,2520,10501,0,1.8030830584466457
845333.0874257535,1790128580.745776,56.505,43,2520,10501,0,1.9032298964448273
845333.187544479,1790128580.8458948,56.505,43,2520,10501,0,2.003348622005433
845333.2876619624,1790128580.9460104,56.505,43,2520,10501,0,2.1034661054145545
845333.387771468,1790128581.0461178,56.505,43,2520,10501,0,2.2035756109980866
845333.4878727205,1790128581.146219,56.632,43,2520,10501,0,2.303676863433793
845333.5879810276,1790128581.2463307,56.632,43,2520,10501,0,2.403785170521587
845333.6881430486,1790128581.3464942,56.632,43,2520,10501,0,2.5039471915224567
845333.7882963466,1790128581.4466565,56.632,43,2520,10501,0,2.604100489523262
845333.8884529229,1790128581.5468051,56.632,43,2520,10501,0,2.704257065895945
845333.9888790565,1790128581.647301,56.549,43,2520,10501,0,2.8046831995015964
845334.0893332005,1790128581.747683,56.549,43,2520,10501,0,2.9051373434485868
845334.189449214,1790128581.8477983,56.549,43,2520,10501,0,3.005253356997855
845334.289560055,1790128581.9479067,56.549,43,2520,10501,0,3.105364197981544
845334.389662149,1790128582.048009,56.549,43,2520,10501,0,3.205466291983612
845334.489768991,1790128582.148118,56.78,43,2520,10501,0,3.3055731339845806
845334.5898872125,1790128582.248239,56.78,43,2520,10501,0,3.4056913554668427
845334.6900521095,1790128582.3484142,56.78,43,2520,10501,0,3.505856252508238
845334.7902155395,1790128582.4485688,56.78,43,2520,10501,0,3.6060196824837476
845334.890350628,1790128582.5487027,56.78,43,2520,10501,0,3.706154770916328
845334.9904824896,1790128582.648833,56.83,43,2520,10501,0,3.8062866325490177
845335.0906053715,1790128582.7489562,56.83,43,2520,10501,0,3.9064095144858584
845335.190721535,1790128582.849068,56.83,43,2520,10501,0,4.006525677978061
845335.2908208976,1790128582.9491673,56.83,43,2520,10501,0,4.106625040527433
845335.390929724,1790128583.0492797,56.83,43,2520,10501,0,4.206733866943978
845335.491050296,1790128583.1494021,56.83,43,2520,10501,0,4.306854438968003
845335.5912018905,1790128583.2495632,56.83,43,2520,10501,0,4.407006033463404
845335.6913607339,1790128583.3497138,56.83,43,2520,10501,0,4.507164876908064
845335.7914921045,1790128583.4498425,56.83,43,2520,10501,0,4.607296247500926
845335.8916193525,1790128583.5499697,56.83,43,2520,10501,0,4.707423495477997
845335.9917361629,1790128583.6500852,56.634,43,2520,10501,0,4.807540305890143
845336.0918462735,1790128583.7501926,56.634,43,2520,10501,0,4.907650416484103
845336.1894039335,1790128583.847768,56.634,43,2520,10501,0,5.005208076443523
