monotonic_s,wall_time_s,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,gpu_util_percent,relative_s
845155.7312915521,1790128403.3896632,74.5,44,2520,10501,24,-0.001981054898351431
845155.831848336,1790128403.4902196,74.5,44,2520,10501,24,0.09857572906184942
845155.9320666089,1790128403.5904217,75.702,44,2520,10501,24,0.19879400194622576
845156.0322248931,1790128403.690578,75.702,44,2520,10501,24,0.29895228613168
845156.1323824399,1790128403.7907372,75.702,44,2520,10501,24,0.3991098329424858
845156.232552135,1790128403.8909051,75.702,44,2520,10501,24,0.4992795280413702
845156.3326995366,1790128403.9910536,75.702,44,2520,10501,24,0.5994269296061248
845156.4332655806,1790128404.0916233,75.565,44,2520,10501,24,0.6999929735902697
845156.533741184,1790128404.1920936,75.565,44,2520,10501,24,0.8004685770720243
845156.6338857205,1790128404.2922409,75.565,44,2520,10501,24,0.9006131135392934
845156.734121552,1790128404.3925176,75.565,44,2520,10501,24,1.000848944997415
845156.8344224531,1790128404.4927747,75.565,44,2520,10501,24,1.1011498461011797
845156.9347521735,1790128404.5932221,75.544,44,2520,10501,23,1.2014795665163547
845157.0351784895,1790128404.6935306,75.544,44,2520,10501,23,1.3019058825448155
845157.1353133456,1790128404.7936664,75.544,44,2520,10501,23,1.4020407386124134
845157.236020293,1790128404.8944376,75.544,44,2520,10501,23,1.5027476859977469
845157.3362742991,1790128404.9946265,75.544,44,2520,10501,23,1.6030016920994967
845157.436490057,1790128405.0948691,75.333,44,2520,10501,23,1.7032174500636756
845157.5367291046,1790128405.1950793,75.333,44,2520,10501,23,1.803456497611478
845157.636868576,1790128405.2952166,75.333,44,2520,10501,23,1.903595969080925
845157.7369898275,1790128405.3953378,75.333,44,2520,10501,23,2.003717220504768
845157.8371396805,1790128405.4954917,75.333,44,2520,10501,23,2.1038670735433698
845157.9373354445,1790128405.595704,75.356,44,2520,10501,23,2.204062837525271
